kind	class	method	param	index	uri
FIELD	hw5.P2Main	null	trainingFile	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url7f15a160d2_timofei7_old_ai_assignments_tgz-pJ8-org_json_TestJ8/src/hw5/P2Main.java
METHOD	hw5.P2Main	main(java.lang.String[])	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url7f15a160d2_timofei7_old_ai_assignments_tgz-pJ8-org_json_TestJ8/src/hw5/P2Main.java
FIELD	hw5.Node	null	state	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url7f15a160d2_timofei7_old_ai_assignments_tgz-pJ8-org_json_TestJ8/src/hw5/Node.java
FIELD	hw5.Node	null	parent	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url7f15a160d2_timofei7_old_ai_assignments_tgz-pJ8-org_json_TestJ8/src/hw5/Node.java
FIELD	hw5.Node	null	probability	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url7f15a160d2_timofei7_old_ai_assignments_tgz-pJ8-org_json_TestJ8/src/hw5/Node.java
FIELD	hw5.Node	null	log	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url7f15a160d2_timofei7_old_ai_assignments_tgz-pJ8-org_json_TestJ8/src/hw5/Node.java
PARAMETER	hw5.Node	Node(java.lang.String,hw5.Node,java.lang.Double)	s	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url7f15a160d2_timofei7_old_ai_assignments_tgz-pJ8-org_json_TestJ8/src/hw5/Node.java
PARAMETER	hw5.Node	Node(java.lang.String,hw5.Node,java.lang.Double)	p	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url7f15a160d2_timofei7_old_ai_assignments_tgz-pJ8-org_json_TestJ8/src/hw5/Node.java
PARAMETER	hw5.Node	Node(java.lang.String,hw5.Node,java.lang.Double)	pr	2	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url7f15a160d2_timofei7_old_ai_assignments_tgz-pJ8-org_json_TestJ8/src/hw5/Node.java
PARAMETER	hw5.Node	Node(java.lang.String,hw5.Node,java.lang.Double,boolean)	s	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url7f15a160d2_timofei7_old_ai_assignments_tgz-pJ8-org_json_TestJ8/src/hw5/Node.java
PARAMETER	hw5.Node	Node(java.lang.String,hw5.Node,java.lang.Double,boolean)	p	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url7f15a160d2_timofei7_old_ai_assignments_tgz-pJ8-org_json_TestJ8/src/hw5/Node.java
