kind	class	method	param	index	uri
FIELD	rummikub.Client	null	mySocket	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8417b1b213_Ratchette_Rummikub_tgz-pJ8-rummikub_RummikubJ8/src/rummikub/Client.java
FIELD	rummikub.Client	null	inbox	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8417b1b213_Ratchette_Rummikub_tgz-pJ8-rummikub_RummikubJ8/src/rummikub/Client.java
FIELD	rummikub.Client	null	outbox	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8417b1b213_Ratchette_Rummikub_tgz-pJ8-rummikub_RummikubJ8/src/rummikub/Client.java
PARAMETER	rummikub.Client	connect(java.lang.String,int)	serverIP	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8417b1b213_Ratchette_Rummikub_tgz-pJ8-rummikub_RummikubJ8/src/rummikub/Client.java
PARAMETER	rummikub.Client	connect(java.lang.String,int)	port	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8417b1b213_Ratchette_Rummikub_tgz-pJ8-rummikub_RummikubJ8/src/rummikub/Client.java
METHOD	rummikub.Client	connect(java.lang.String,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8417b1b213_Ratchette_Rummikub_tgz-pJ8-rummikub_RummikubJ8/src/rummikub/Client.java
METHOD	rummikub.Client	disconnect()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8417b1b213_Ratchette_Rummikub_tgz-pJ8-rummikub_RummikubJ8/src/rummikub/Client.java
METHOD	rummikub.Client	getMessage()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8417b1b213_Ratchette_Rummikub_tgz-pJ8-rummikub_RummikubJ8/src/rummikub/Client.java
PARAMETER	rummikub.Client	sendMessage(java.lang.String)	message	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8417b1b213_Ratchette_Rummikub_tgz-pJ8-rummikub_RummikubJ8/src/rummikub/Client.java
METHOD	rummikub.Client	sendMessage(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8417b1b213_Ratchette_Rummikub_tgz-pJ8-rummikub_RummikubJ8/src/rummikub/Client.java
METHOD	rummikub.Client	decodeMessage(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8417b1b213_Ratchette_Rummikub_tgz-pJ8-rummikub_RummikubJ8/src/rummikub/Client.java
FIELD	rummikub.Tile	null	RED	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8417b1b213_Ratchette_Rummikub_tgz-pJ8-rummikub_RummikubJ8/src/rummikub/Tile.java
FIELD	rummikub.Tile	null	ORANGE	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8417b1b213_Ratchette_Rummikub_tgz-pJ8-rummikub_RummikubJ8/src/rummikub/Tile.java
FIELD	rummikub.Tile	null	BLUE	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8417b1b213_Ratchette_Rummikub_tgz-pJ8-rummikub_RummikubJ8/src/rummikub/Tile.java
