kind	class	method	param	index	uri
FIELD	ascensor.GNA	null	MODLUS	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url85e313f409_edugasser_Ascensor_tgz-pJ8-ascensor_MainJ8/src/ascensor/GNA.java
FIELD	ascensor.GNA	null	MULT1	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url85e313f409_edugasser_Ascensor_tgz-pJ8-ascensor_MainJ8/src/ascensor/GNA.java
FIELD	ascensor.GNA	null	MULT2	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url85e313f409_edugasser_Ascensor_tgz-pJ8-ascensor_MainJ8/src/ascensor/GNA.java
FIELD	ascensor.GNA	null	zrng	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url85e313f409_edugasser_Ascensor_tgz-pJ8-ascensor_MainJ8/src/ascensor/GNA.java
PARAMETER	ascensor.GNA	rand2(int)	stream	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url85e313f409_edugasser_Ascensor_tgz-pJ8-ascensor_MainJ8/src/ascensor/GNA.java
METHOD	ascensor.GNA	rand2(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url85e313f409_edugasser_Ascensor_tgz-pJ8-ascensor_MainJ8/src/ascensor/GNA.java
FIELD	ascensor.Ascensor	null	direccion	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url85e313f409_edugasser_Ascensor_tgz-pJ8-ascensor_MainJ8/src/ascensor/Ascensor.java
FIELD	ascensor.Ascensor	null	proxima_parada	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url85e313f409_edugasser_Ascensor_tgz-pJ8-ascensor_MainJ8/src/ascensor/Ascensor.java
FIELD	ascensor.Ascensor	null	viajando	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url85e313f409_edugasser_Ascensor_tgz-pJ8-ascensor_MainJ8/src/ascensor/Ascensor.java
FIELD	ascensor.Ascensor	null	suben	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url85e313f409_edugasser_Ascensor_tgz-pJ8-ascensor_MainJ8/src/ascensor/Ascensor.java
FIELD	ascensor.Ascensor	null	bajan	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url85e313f409_edugasser_Ascensor_tgz-pJ8-ascensor_MainJ8/src/ascensor/Ascensor.java
METHOD	ascensor.Ascensor	clear()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url85e313f409_edugasser_Ascensor_tgz-pJ8-ascensor_MainJ8/src/ascensor/Ascensor.java
PARAMETER	ascensor.Ascensor	setViajando(boolean)	b	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url85e313f409_edugasser_Ascensor_tgz-pJ8-ascensor_MainJ8/src/ascensor/Ascensor.java
METHOD	ascensor.Ascensor	setViajando(boolean)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url85e313f409_edugasser_Ascensor_tgz-pJ8-ascensor_MainJ8/src/ascensor/Ascensor.java
METHOD	ascensor.Ascensor	getViajando()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url85e313f409_edugasser_Ascensor_tgz-pJ8-ascensor_MainJ8/src/ascensor/Ascensor.java
METHOD	ascensor.Ascensor	getPasajeros()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url85e313f409_edugasser_Ascensor_tgz-pJ8-ascensor_MainJ8/src/ascensor/Ascensor.java
PARAMETER	ascensor.Ascensor	setPasajeroSube(ascensor.Pasajero)	p	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url85e313f409_edugasser_Ascensor_tgz-pJ8-ascensor_MainJ8/src/ascensor/Ascensor.java
METHOD	ascensor.Ascensor	setPasajeroSube(ascensor.Pasajero)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url85e313f409_edugasser_Ascensor_tgz-pJ8-ascensor_MainJ8/src/ascensor/Ascensor.java
METHOD	ascensor.Ascensor	setPasajeroBaja(ascensor.Pasajero)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url85e313f409_edugasser_Ascensor_tgz-pJ8-ascensor_MainJ8/src/ascensor/Ascensor.java
PARAMETER	ascensor.Ascensor	setProximaParada(int)	p	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url85e313f409_edugasser_Ascensor_tgz-pJ8-ascensor_MainJ8/src/ascensor/Ascensor.java
METHOD	ascensor.Ascensor	setProximaParada(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url85e313f409_edugasser_Ascensor_tgz-pJ8-ascensor_MainJ8/src/ascensor/Ascensor.java
METHOD	ascensor.Ascensor	getProximaParada()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url85e313f409_edugasser_Ascensor_tgz-pJ8-ascensor_MainJ8/src/ascensor/Ascensor.java
METHOD	ascensor.Ascensor	getNumPasajeros()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url85e313f409_edugasser_Ascensor_tgz-pJ8-ascensor_MainJ8/src/ascensor/Ascensor.java
PARAMETER	ascensor.Ascensor	setDireccion(java.lang.String)	d	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url85e313f409_edugasser_Ascensor_tgz-pJ8-ascensor_MainJ8/src/ascensor/Ascensor.java
METHOD	ascensor.Ascensor	setDireccion(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url85e313f409_edugasser_Ascensor_tgz-pJ8-ascensor_MainJ8/src/ascensor/Ascensor.java
METHOD	ascensor.Ascensor	getDireccion()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url85e313f409_edugasser_Ascensor_tgz-pJ8-ascensor_MainJ8/src/ascensor/Ascensor.java
FIELD	ascensor.Pasajero	null	piso_actual	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url85e313f409_edugasser_Ascensor_tgz-pJ8-ascensor_MainJ8/src/ascensor/Pasajero.java
FIELD	ascensor.Pasajero	null	piso_destino	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url85e313f409_edugasser_Ascensor_tgz-pJ8-ascensor_MainJ8/src/ascensor/Pasajero.java
FIELD	ascensor.Pasajero	null	tiempo_reflexion	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url85e313f409_edugasser_Ascensor_tgz-pJ8-ascensor_MainJ8/src/ascensor/Pasajero.java
FIELD	ascensor.Pasajero	null	instante_llegada	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url85e313f409_edugasser_Ascensor_tgz-pJ8-ascensor_MainJ8/src/ascensor/Pasajero.java
PARAMETER	ascensor.Pasajero	Pasajero(java.lang.String,int,int)	d	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url85e313f409_edugasser_Ascensor_tgz-pJ8-ascensor_MainJ8/src/ascensor/Pasajero.java
PARAMETER	ascensor.Pasajero	Pasajero(java.lang.String,int,int)	destino	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url85e313f409_edugasser_Ascensor_tgz-pJ8-ascensor_MainJ8/src/ascensor/Pasajero.java
PARAMETER	ascensor.Pasajero	Pasajero(java.lang.String,int,int)	id	2	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url85e313f409_edugasser_Ascensor_tgz-pJ8-ascensor_MainJ8/src/ascensor/Pasajero.java
METHOD	ascensor.Pasajero	getTiempoEntrada()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url85e313f409_edugasser_Ascensor_tgz-pJ8-ascensor_MainJ8/src/ascensor/Pasajero.java
