kind	class	method	param	index	uri
METHOD	learn.dp.ConcreteTemplate	doMethod()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/learn/dp/ConcreteTemplate.java
METHOD	learn.dp.ConcreteTemplate	main(java.lang.String[])	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/learn/dp/ConcreteTemplate.java
METHOD	learn.dp.AbstractTemplate	doTask()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/learn/dp/AbstractTemplate.java
METHOD	learn.dp.AbstractTemplate	doMethod()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/learn/dp/AbstractTemplate.java
METHOD	learn.dp.AbstractTemplate	before()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/learn/dp/AbstractTemplate.java
METHOD	learn.dp.AbstractTemplate	after()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/learn/dp/AbstractTemplate.java
FIELD	net.jcip.examples.TimingThreadPool	null	startTime	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/net/jcip/examples/TimingThreadPool.java
FIELD	net.jcip.examples.TimingThreadPool	null	log	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/net/jcip/examples/TimingThreadPool.java
FIELD	net.jcip.examples.TimingThreadPool	null	numTasks	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/net/jcip/examples/TimingThreadPool.java
FIELD	net.jcip.examples.TimingThreadPool	null	totalTime	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/net/jcip/examples/TimingThreadPool.java
PARAMETER	net.jcip.examples.TimingThreadPool	beforeExecute(java.lang.Thread,java.lang.Runnable)	t	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/net/jcip/examples/TimingThreadPool.java
PARAMETER	net.jcip.examples.TimingThreadPool	beforeExecute(java.lang.Thread,java.lang.Runnable)	r	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/net/jcip/examples/TimingThreadPool.java
METHOD	net.jcip.examples.TimingThreadPool	beforeExecute(java.lang.Thread,java.lang.Runnable)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/net/jcip/examples/TimingThreadPool.java
PARAMETER	net.jcip.examples.TimingThreadPool	afterExecute(java.lang.Runnable,java.lang.Throwable)	r	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/net/jcip/examples/TimingThreadPool.java
PARAMETER	net.jcip.examples.TimingThreadPool	afterExecute(java.lang.Runnable,java.lang.Throwable)	t	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/net/jcip/examples/TimingThreadPool.java
METHOD	net.jcip.examples.TimingThreadPool	afterExecute(java.lang.Runnable,java.lang.Throwable)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/net/jcip/examples/TimingThreadPool.java
METHOD	net.jcip.examples.TimingThreadPool	terminated()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/net/jcip/examples/TimingThreadPool.java
METHOD	net.jcip.examples.TimingThreadPool	main(java.lang.String[])	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/net/jcip/examples/TimingThreadPool.java
METHOD	net.jcip.examples.TimingThreadPool$1	run()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/net/jcip/examples/TimingThreadPool.java
METHOD	enumtest.EnumTest	main(java.lang.String[])	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/enumtest/EnumTest.java
PARAMETER	enumtest.Operation$1	apply(double,double)	val1	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/enumtest/Operation.java
PARAMETER	enumtest.Operation$1	apply(double,double)	val2	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/enumtest/Operation.java
METHOD	enumtest.Operation$1	apply(double,double)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/enumtest/Operation.java
PARAMETER	enumtest.Operation$2	apply(double,double)	val1	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/enumtest/Operation.java
PARAMETER	enumtest.Operation$2	apply(double,double)	val2	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/enumtest/Operation.java
METHOD	enumtest.Operation$2	apply(double,double)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/enumtest/Operation.java
PARAMETER	enumtest.Operation$3	apply(double,double)	val1	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/enumtest/Operation.java
PARAMETER	enumtest.Operation$3	apply(double,double)	val2	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/enumtest/Operation.java
METHOD	enumtest.Operation$3	apply(double,double)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/enumtest/Operation.java
PARAMETER	enumtest.Operation$4	apply(double,double)	val1	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/enumtest/Operation.java
PARAMETER	enumtest.Operation$4	apply(double,double)	val2	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/enumtest/Operation.java
METHOD	enumtest.Operation$4	apply(double,double)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/enumtest/Operation.java
FIELD	enumtest.Operation	null	symbol	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/enumtest/Operation.java
PARAMETER	enumtest.Operation	Operation(java.lang.String)	symbol	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/enumtest/Operation.java
METHOD	enumtest.Operation	toString()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/enumtest/Operation.java
METHOD	enumtest.Operation	apply(double,double)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/enumtest/Operation.java
METHOD	enumtest.Day	getOrdinal()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/enumtest/Day.java
METHOD	enumtest.Day	getFirst()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/enumtest/Day.java
METHOD	test.generics.KitchenSink	flush(T)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/test/generics/KitchenSink.java
METHOD	test.generics.Sink	flush(T)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/test/generics/Sink.java
FIELD	test.generics.Box	null	t	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/test/generics/Box.java
METHOD	test.generics.Box	add(T)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/test/generics/Box.java
METHOD	test.generics.Box	get()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/test/generics/Box.java
METHOD	test.generics.Box	inspect(U)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/test/generics/Box.java
METHOD	test.generics.Box	main(java.lang.String[])	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/test/generics/Box.java
METHOD	test.generics.Box$MyClass	doubleValue()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/test/generics/Box.java
METHOD	test.generics.Box$MyClass	floatValue()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/test/generics/Box.java
METHOD	test.generics.Box$MyClass	intValue()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/test/generics/Box.java
METHOD	test.generics.Box$MyClass	longValue()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/test/generics/Box.java
METHOD	test.generics.Box$MyClass	run()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/test/generics/Box.java
PARAMETER	test.generics.SinkTest	writeAll(java.util.Collection,test.generics.Sink)	coll	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/test/generics/SinkTest.java
PARAMETER	test.generics.SinkTest	writeAll(java.util.Collection,test.generics.Sink)	sink	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/test/generics/SinkTest.java
METHOD	test.generics.SinkTest	writeAll(java.util.Collection,test.generics.Sink)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/test/generics/SinkTest.java
METHOD	test.generics.SinkTest	main(java.lang.String[])	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/test/generics/SinkTest.java
FIELD	test.OrderState	null	isTerminal	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/test/OrderState.java
PARAMETER	test.OrderState	OrderState(boolean)	terminal	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/test/OrderState.java
METHOD	test.OrderState	isTerminal()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/test/OrderState.java
METHOD	test.TestEnum	main(java.lang.String[])	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/test/TestEnum.java
FIELD	test.Salary	null	basicPay	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/test/Salary.java
PARAMETER	test.Salary	Salary(int)	basicPay	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/test/Salary.java
METHOD	test.Salary	getBasicPay()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/test/Salary.java
METHOD	test.Salary	setBasicPay(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/test/Salary.java
FIELD	test.TestXML2JSON	null	compiledScript	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/test/TestXML2JSON.java
METHOD	test.TestXML2JSON	main(java.lang.String[])	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/test/TestXML2JSON.java
METHOD	test.TestXML2JSON	readXML()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/test/TestXML2JSON.java
PARAMETER	test.TestXML2JSON	initialize(java.lang.String)	scriptPath	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/test/TestXML2JSON.java
METHOD	test.TestXML2JSON	initialize(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/test/TestXML2JSON.java
PARAMETER	test.TestXML2JSON	process(java.util.HashMap)	context	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/test/TestXML2JSON.java
METHOD	test.TestXML2JSON	process(java.util.HashMap)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/test/TestXML2JSON.java
METHOD	test.properties.RecSample	main(java.lang.String[])	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/test/properties/RecSample.java
PARAMETER	test.properties.RecSample	fact(int)	number	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/test/properties/RecSample.java
METHOD	test.properties.RecSample	fact(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/test/properties/RecSample.java
PARAMETER	test.properties.RecSample	listFiles(java.io.File,java.lang.String)	directory	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/test/properties/RecSample.java
PARAMETER	test.properties.RecSample	listFiles(java.io.File,java.lang.String)	fileName	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/test/properties/RecSample.java
METHOD	test.properties.RecSample	listFiles(java.io.File,java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/test/properties/RecSample.java
METHOD	test.properties.PropertyLoader	testLoader()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/test/properties/PropertyLoader.java
METHOD	test.properties.PropertyLoader	main(java.lang.String[])	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8/src/test/properties/PropertyLoader.java
