kind	class	method	param	index	uri
FIELD	com.undi.util.HashCodeUtil	null	SEED	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url969d1ddca4_compmstr_java_scheme_tgz-pJ8-com_undi_javascheme_JavaSchemeJ8/src/com/undi/util/HashCodeUtil.java
METHOD	com.undi.util.HashCodeUtil	hash(int,boolean)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url969d1ddca4_compmstr_java_scheme_tgz-pJ8-com_undi_javascheme_JavaSchemeJ8/src/com/undi/util/HashCodeUtil.java
METHOD	com.undi.util.HashCodeUtil	hash(int,char)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url969d1ddca4_compmstr_java_scheme_tgz-pJ8-com_undi_javascheme_JavaSchemeJ8/src/com/undi/util/HashCodeUtil.java
PARAMETER	com.undi.util.HashCodeUtil	hash(int,int)	aSeed	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url969d1ddca4_compmstr_java_scheme_tgz-pJ8-com_undi_javascheme_JavaSchemeJ8/src/com/undi/util/HashCodeUtil.java
PARAMETER	com.undi.util.HashCodeUtil	hash(int,int)	aInt	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url969d1ddca4_compmstr_java_scheme_tgz-pJ8-com_undi_javascheme_JavaSchemeJ8/src/com/undi/util/HashCodeUtil.java
METHOD	com.undi.util.HashCodeUtil	hash(int,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url969d1ddca4_compmstr_java_scheme_tgz-pJ8-com_undi_javascheme_JavaSchemeJ8/src/com/undi/util/HashCodeUtil.java
PARAMETER	com.undi.util.HashCodeUtil	hash(int,long)	aSeed	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url969d1ddca4_compmstr_java_scheme_tgz-pJ8-com_undi_javascheme_JavaSchemeJ8/src/com/undi/util/HashCodeUtil.java
PARAMETER	com.undi.util.HashCodeUtil	hash(int,long)	aLong	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url969d1ddca4_compmstr_java_scheme_tgz-pJ8-com_undi_javascheme_JavaSchemeJ8/src/com/undi/util/HashCodeUtil.java
METHOD	com.undi.util.HashCodeUtil	hash(int,long)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url969d1ddca4_compmstr_java_scheme_tgz-pJ8-com_undi_javascheme_JavaSchemeJ8/src/com/undi/util/HashCodeUtil.java
METHOD	com.undi.util.HashCodeUtil	hash(int,float)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url969d1ddca4_compmstr_java_scheme_tgz-pJ8-com_undi_javascheme_JavaSchemeJ8/src/com/undi/util/HashCodeUtil.java
METHOD	com.undi.util.HashCodeUtil	hash(int,double)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url969d1ddca4_compmstr_java_scheme_tgz-pJ8-com_undi_javascheme_JavaSchemeJ8/src/com/undi/util/HashCodeUtil.java
PARAMETER	com.undi.util.HashCodeUtil	hash(int,java.lang.Object)	aSeed	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url969d1ddca4_compmstr_java_scheme_tgz-pJ8-com_undi_javascheme_JavaSchemeJ8/src/com/undi/util/HashCodeUtil.java
PARAMETER	com.undi.util.HashCodeUtil	hash(int,java.lang.Object)	aObject	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url969d1ddca4_compmstr_java_scheme_tgz-pJ8-com_undi_javascheme_JavaSchemeJ8/src/com/undi/util/HashCodeUtil.java
METHOD	com.undi.util.HashCodeUtil	hash(int,java.lang.Object)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url969d1ddca4_compmstr_java_scheme_tgz-pJ8-com_undi_javascheme_JavaSchemeJ8/src/com/undi/util/HashCodeUtil.java
FIELD	com.undi.util.HashCodeUtil	null	fODD_PRIME_NUMBER	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url969d1ddca4_compmstr_java_scheme_tgz-pJ8-com_undi_javascheme_JavaSchemeJ8/src/com/undi/util/HashCodeUtil.java
PARAMETER	com.undi.util.HashCodeUtil	firstTerm(int)	aSeed	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url969d1ddca4_compmstr_java_scheme_tgz-pJ8-com_undi_javascheme_JavaSchemeJ8/src/com/undi/util/HashCodeUtil.java
METHOD	com.undi.util.HashCodeUtil	firstTerm(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url969d1ddca4_compmstr_java_scheme_tgz-pJ8-com_undi_javascheme_JavaSchemeJ8/src/com/undi/util/HashCodeUtil.java
PARAMETER	com.undi.util.HashCodeUtil	isArray(java.lang.Object)	aObject	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url969d1ddca4_compmstr_java_scheme_tgz-pJ8-com_undi_javascheme_JavaSchemeJ8/src/com/undi/util/HashCodeUtil.java
METHOD	com.undi.util.HashCodeUtil	isArray(java.lang.Object)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url969d1ddca4_compmstr_java_scheme_tgz-pJ8-com_undi_javascheme_JavaSchemeJ8/src/com/undi/util/HashCodeUtil.java
METHOD	com.undi.util.SneakyThrow	runtimeException(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url969d1ddca4_compmstr_java_scheme_tgz-pJ8-com_undi_javascheme_JavaSchemeJ8/src/com/undi/util/SneakyThrow.java
METHOD	com.undi.util.SneakyThrow	runtimeException(java.lang.String,java.lang.Throwable)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url969d1ddca4_compmstr_java_scheme_tgz-pJ8-com_undi_javascheme_JavaSchemeJ8/src/com/undi/util/SneakyThrow.java
PARAMETER	com.undi.util.SneakyThrow	sneakyThrow(java.lang.Throwable)	t	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url969d1ddca4_compmstr_java_scheme_tgz-pJ8-com_undi_javascheme_JavaSchemeJ8/src/com/undi/util/SneakyThrow.java
METHOD	com.undi.util.SneakyThrow	sneakyThrow(java.lang.Throwable)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url969d1ddca4_compmstr_java_scheme_tgz-pJ8-com_undi_javascheme_JavaSchemeJ8/src/com/undi/util/SneakyThrow.java
PARAMETER	com.undi.util.SneakyThrow	sneakyThrow0(java.lang.Throwable)	t	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url969d1ddca4_compmstr_java_scheme_tgz-pJ8-com_undi_javascheme_JavaSchemeJ8/src/com/undi/util/SneakyThrow.java
METHOD	com.undi.util.SneakyThrow	sneakyThrow0(java.lang.Throwable)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url969d1ddca4_compmstr_java_scheme_tgz-pJ8-com_undi_javascheme_JavaSchemeJ8/src/com/undi/util/SneakyThrow.java
FIELD	com.undi.util.Reflector	null	emptyArgs	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url969d1ddca4_compmstr_java_scheme_tgz-pJ8-com_undi_javascheme_JavaSchemeJ8/src/com/undi/util/Reflector.java
METHOD	com.undi.util.Reflector	throwCauseOrElseException(java.lang.Exception)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url969d1ddca4_compmstr_java_scheme_tgz-pJ8-com_undi_javascheme_JavaSchemeJ8/src/com/undi/util/Reflector.java
PARAMETER	com.undi.util.Reflector	classFromName(java.lang.String)	className	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url969d1ddca4_compmstr_java_scheme_tgz-pJ8-com_undi_javascheme_JavaSchemeJ8/src/com/undi/util/Reflector.java
METHOD	com.undi.util.Reflector	classFromName(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url969d1ddca4_compmstr_java_scheme_tgz-pJ8-com_undi_javascheme_JavaSchemeJ8/src/com/undi/util/Reflector.java
