kind	class	method	param	index	uri
FIELD	securitygame.Defender	null	net	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9a01f43c15_poragchowdhury_securitygame_tgz-pJ8-securitygame_GameMasterJ8/src/securitygame/Defender.java
FIELD	securitygame.Defender	null	dh	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9a01f43c15_poragchowdhury_securitygame_tgz-pJ8-securitygame_GameMasterJ8/src/securitygame/Defender.java
FIELD	securitygame.Defender	null	defenderName	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9a01f43c15_poragchowdhury_securitygame_tgz-pJ8-securitygame_GameMasterJ8/src/securitygame/Defender.java
FIELD	securitygame.Defender	null	graph	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9a01f43c15_poragchowdhury_securitygame_tgz-pJ8-securitygame_GameMasterJ8/src/securitygame/Defender.java
FIELD	securitygame.Defender	null	isAlive	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9a01f43c15_poragchowdhury_securitygame_tgz-pJ8-securitygame_GameMasterJ8/src/securitygame/Defender.java
PARAMETER	securitygame.Defender	Defender(java.lang.String,java.lang.String)	agentName	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9a01f43c15_poragchowdhury_securitygame_tgz-pJ8-securitygame_GameMasterJ8/src/securitygame/Defender.java
PARAMETER	securitygame.Defender	Defender(java.lang.String,java.lang.String)	graphFile	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9a01f43c15_poragchowdhury_securitygame_tgz-pJ8-securitygame_GameMasterJ8/src/securitygame/Defender.java
PARAMETER	securitygame.Defender	strengthen(int)	id	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9a01f43c15_poragchowdhury_securitygame_tgz-pJ8-securitygame_GameMasterJ8/src/securitygame/Defender.java
METHOD	securitygame.Defender	strengthen(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9a01f43c15_poragchowdhury_securitygame_tgz-pJ8-securitygame_GameMasterJ8/src/securitygame/Defender.java
PARAMETER	securitygame.Defender	firewall(int,int)	id1	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9a01f43c15_poragchowdhury_securitygame_tgz-pJ8-securitygame_GameMasterJ8/src/securitygame/Defender.java
