kind	class	method	param	index	uri
METHOD	net.woopa.dungeon.settings.Property	getKey()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9ba68db77a_samkio_Dungeonator_tgz-pJ8-net_woopa_dungeon_core_Main2J8/src/net/woopa/dungeon/settings/Property.java
METHOD	net.woopa.dungeon.settings.Property	getValue()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9ba68db77a_samkio_Dungeonator_tgz-pJ8-net_woopa_dungeon_core_Main2J8/src/net/woopa/dungeon/settings/Property.java
PARAMETER	net.woopa.dungeon.core.StandardMethods	build_door(net.woopa.dungeon.datatypes.Direction,net.woopa.dungeon.datatypes.Vector2D,net.woopa.dungeon.datatypes.Material,net.woopa.dungeon.datatypes.Grid)	dir	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9ba68db77a_samkio_Dungeonator_tgz-pJ8-net_woopa_dungeon_core_Main2J8/src/net/woopa/dungeon/core/StandardMethods.java
PARAMETER	net.woopa.dungeon.core.StandardMethods	build_door(net.woopa.dungeon.datatypes.Direction,net.woopa.dungeon.datatypes.Vector2D,net.woopa.dungeon.datatypes.Material,net.woopa.dungeon.datatypes.Grid)	loc	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9ba68db77a_samkio_Dungeonator_tgz-pJ8-net_woopa_dungeon_core_Main2J8/src/net/woopa/dungeon/core/StandardMethods.java
PARAMETER	net.woopa.dungeon.core.StandardMethods	build_door(net.woopa.dungeon.datatypes.Direction,net.woopa.dungeon.datatypes.Vector2D,net.woopa.dungeon.datatypes.Material,net.woopa.dungeon.datatypes.Grid)	door	2	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9ba68db77a_samkio_Dungeonator_tgz-pJ8-net_woopa_dungeon_core_Main2J8/src/net/woopa/dungeon/core/StandardMethods.java
PARAMETER	net.woopa.dungeon.core.StandardMethods	build_door(net.woopa.dungeon.datatypes.Direction,net.woopa.dungeon.datatypes.Vector2D,net.woopa.dungeon.datatypes.Material,net.woopa.dungeon.datatypes.Grid)	g	3	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9ba68db77a_samkio_Dungeonator_tgz-pJ8-net_woopa_dungeon_core_Main2J8/src/net/woopa/dungeon/core/StandardMethods.java
METHOD	net.woopa.dungeon.core.StandardMethods	build_door(net.woopa.dungeon.datatypes.Direction,net.woopa.dungeon.datatypes.Vector2D,net.woopa.dungeon.datatypes.Material,net.woopa.dungeon.datatypes.Grid)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9ba68db77a_samkio_Dungeonator_tgz-pJ8-net_woopa_dungeon_core_Main2J8/src/net/woopa/dungeon/core/StandardMethods.java
PARAMETER	net.woopa.dungeon.core.StandardMethods	fixWall(int,int,net.woopa.dungeon.datatypes.Grid)	x	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9ba68db77a_samkio_Dungeonator_tgz-pJ8-net_woopa_dungeon_core_Main2J8/src/net/woopa/dungeon/core/StandardMethods.java
PARAMETER	net.woopa.dungeon.core.StandardMethods	fixWall(int,int,net.woopa.dungeon.datatypes.Grid)	y	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9ba68db77a_samkio_Dungeonator_tgz-pJ8-net_woopa_dungeon_core_Main2J8/src/net/woopa/dungeon/core/StandardMethods.java
PARAMETER	net.woopa.dungeon.core.StandardMethods	fixWall(int,int,net.woopa.dungeon.datatypes.Grid)	grid	2	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9ba68db77a_samkio_Dungeonator_tgz-pJ8-net_woopa_dungeon_core_Main2J8/src/net/woopa/dungeon/core/StandardMethods.java
METHOD	net.woopa.dungeon.core.StandardMethods	fixWall(int,int,net.woopa.dungeon.datatypes.Grid)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9ba68db77a_samkio_Dungeonator_tgz-pJ8-net_woopa_dungeon_core_Main2J8/src/net/woopa/dungeon/core/StandardMethods.java
PARAMETER	net.woopa.dungeon.core.StandardMethods	fixFloor(int,int,net.woopa.dungeon.datatypes.Grid)	x	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9ba68db77a_samkio_Dungeonator_tgz-pJ8-net_woopa_dungeon_core_Main2J8/src/net/woopa/dungeon/core/StandardMethods.java
PARAMETER	net.woopa.dungeon.core.StandardMethods	fixFloor(int,int,net.woopa.dungeon.datatypes.Grid)	y	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9ba68db77a_samkio_Dungeonator_tgz-pJ8-net_woopa_dungeon_core_Main2J8/src/net/woopa/dungeon/core/StandardMethods.java
PARAMETER	net.woopa.dungeon.core.StandardMethods	fixFloor(int,int,net.woopa.dungeon.datatypes.Grid)	grid	2	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9ba68db77a_samkio_Dungeonator_tgz-pJ8-net_woopa_dungeon_core_Main2J8/src/net/woopa/dungeon/core/StandardMethods.java
METHOD	net.woopa.dungeon.core.StandardMethods	fixFloor(int,int,net.woopa.dungeon.datatypes.Grid)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9ba68db77a_samkio_Dungeonator_tgz-pJ8-net_woopa_dungeon_core_Main2J8/src/net/woopa/dungeon/core/StandardMethods.java
PARAMETER	net.woopa.dungeon.core.StandardMethods	startUpStaircase(int,int,net.woopa.dungeon.core.CoreMaterial,net.woopa.dungeon.datatypes.Grid,net.woopa.dungeon.datatypes.Direction)	x	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9ba68db77a_samkio_Dungeonator_tgz-pJ8-net_woopa_dungeon_core_Main2J8/src/net/woopa/dungeon/core/StandardMethods.java
PARAMETER	net.woopa.dungeon.core.StandardMethods	startUpStaircase(int,int,net.woopa.dungeon.core.CoreMaterial,net.woopa.dungeon.datatypes.Grid,net.woopa.dungeon.datatypes.Direction)	y	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9ba68db77a_samkio_Dungeonator_tgz-pJ8-net_woopa_dungeon_core_Main2J8/src/net/woopa/dungeon/core/StandardMethods.java
PARAMETER	net.woopa.dungeon.core.StandardMethods	startUpStaircase(int,int,net.woopa.dungeon.core.CoreMaterial,net.woopa.dungeon.datatypes.Grid,net.woopa.dungeon.datatypes.Direction)	up	2	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9ba68db77a_samkio_Dungeonator_tgz-pJ8-net_woopa_dungeon_core_Main2J8/src/net/woopa/dungeon/core/StandardMethods.java
PARAMETER	net.woopa.dungeon.core.StandardMethods	startUpStaircase(int,int,net.woopa.dungeon.core.CoreMaterial,net.woopa.dungeon.datatypes.Grid,net.woopa.dungeon.datatypes.Direction)	grid	3	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9ba68db77a_samkio_Dungeonator_tgz-pJ8-net_woopa_dungeon_core_Main2J8/src/net/woopa/dungeon/core/StandardMethods.java
PARAMETER	net.woopa.dungeon.core.StandardMethods	startUpStaircase(int,int,net.woopa.dungeon.core.CoreMaterial,net.woopa.dungeon.datatypes.Grid,net.woopa.dungeon.datatypes.Direction)	dir	4	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9ba68db77a_samkio_Dungeonator_tgz-pJ8-net_woopa_dungeon_core_Main2J8/src/net/woopa/dungeon/core/StandardMethods.java
METHOD	net.woopa.dungeon.core.StandardMethods	startUpStaircase(int,int,net.woopa.dungeon.core.CoreMaterial,net.woopa.dungeon.datatypes.Grid,net.woopa.dungeon.datatypes.Direction)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9ba68db77a_samkio_Dungeonator_tgz-pJ8-net_woopa_dungeon_core_Main2J8/src/net/woopa/dungeon/core/StandardMethods.java
PARAMETER	net.woopa.dungeon.core.StandardMethods	upWall(int,int,net.woopa.dungeon.datatypes.Grid)	x	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9ba68db77a_samkio_Dungeonator_tgz-pJ8-net_woopa_dungeon_core_Main2J8/src/net/woopa/dungeon/core/StandardMethods.java
PARAMETER	net.woopa.dungeon.core.StandardMethods	upWall(int,int,net.woopa.dungeon.datatypes.Grid)	y	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9ba68db77a_samkio_Dungeonator_tgz-pJ8-net_woopa_dungeon_core_Main2J8/src/net/woopa/dungeon/core/StandardMethods.java
PARAMETER	net.woopa.dungeon.core.StandardMethods	upWall(int,int,net.woopa.dungeon.datatypes.Grid)	grid	2	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9ba68db77a_samkio_Dungeonator_tgz-pJ8-net_woopa_dungeon_core_Main2J8/src/net/woopa/dungeon/core/StandardMethods.java
METHOD	net.woopa.dungeon.core.StandardMethods	upWall(int,int,net.woopa.dungeon.datatypes.Grid)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9ba68db77a_samkio_Dungeonator_tgz-pJ8-net_woopa_dungeon_core_Main2J8/src/net/woopa/dungeon/core/StandardMethods.java
FIELD	net.woopa.dungeon.datatypes.Direction	null	rnd	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9ba68db77a_samkio_Dungeonator_tgz-pJ8-net_woopa_dungeon_core_Main2J8/src/net/woopa/dungeon/datatypes/Direction.java
METHOD	net.woopa.dungeon.datatypes.Direction	randomDirection()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9ba68db77a_samkio_Dungeonator_tgz-pJ8-net_woopa_dungeon_core_Main2J8/src/net/woopa/dungeon/datatypes/Direction.java
METHOD	net.woopa.dungeon.datatypes.Direction	rotate90()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9ba68db77a_samkio_Dungeonator_tgz-pJ8-net_woopa_dungeon_core_Main2J8/src/net/woopa/dungeon/datatypes/Direction.java
METHOD	net.woopa.dungeon.datatypes.Direction	rotate180()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9ba68db77a_samkio_Dungeonator_tgz-pJ8-net_woopa_dungeon_core_Main2J8/src/net/woopa/dungeon/datatypes/Direction.java
METHOD	net.woopa.dungeon.datatypes.Direction	rotate270()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9ba68db77a_samkio_Dungeonator_tgz-pJ8-net_woopa_dungeon_core_Main2J8/src/net/woopa/dungeon/datatypes/Direction.java
METHOD	net.woopa.dungeon.datatypes.Direction	isHorizontal()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9ba68db77a_samkio_Dungeonator_tgz-pJ8-net_woopa_dungeon_core_Main2J8/src/net/woopa/dungeon/datatypes/Direction.java
METHOD	net.woopa.dungeon.datatypes.Direction	isVertical()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9ba68db77a_samkio_Dungeonator_tgz-pJ8-net_woopa_dungeon_core_Main2J8/src/net/woopa/dungeon/datatypes/Direction.java
METHOD	net.woopa.dungeon.datatypes.Direction	dx(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9ba68db77a_samkio_Dungeonator_tgz-pJ8-net_woopa_dungeon_core_Main2J8/src/net/woopa/dungeon/datatypes/Direction.java
