kind	class	method	param	index	uri
FIELD	peg.EstadoMaquina	null	p	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/peg/EstadoMaquina.java
FIELD	peg.EstadoMaquina	null	i	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/peg/EstadoMaquina.java
FIELD	peg.EstadoMaquina	null	tamanhoPilha	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/peg/EstadoMaquina.java
FIELD	peg.EstadoMaquina	null	pilhaEstados	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/peg/EstadoMaquina.java
FIELD	peg.EstadoMaquina	null	numeroCapturas	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/peg/EstadoMaquina.java
FIELD	peg.EstadoMaquina	null	capturas	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/peg/EstadoMaquina.java
METHOD	peg.EstadoMaquina	inicializar()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/peg/EstadoMaquina.java
METHOD	peg.EstadoMaquina	getP()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/peg/EstadoMaquina.java
PARAMETER	peg.EstadoMaquina	setP(int)	p	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/peg/EstadoMaquina.java
METHOD	peg.EstadoMaquina	setP(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/peg/EstadoMaquina.java
METHOD	peg.EstadoMaquina	getI()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/peg/EstadoMaquina.java
PARAMETER	peg.EstadoMaquina	setI(int)	i	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/peg/EstadoMaquina.java
METHOD	peg.EstadoMaquina	setI(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/peg/EstadoMaquina.java
METHOD	peg.EstadoMaquina	getCapturas()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/peg/EstadoMaquina.java
PARAMETER	peg.EstadoMaquina	setCapturas(java.util.ArrayList)	capturas	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/peg/EstadoMaquina.java
METHOD	peg.EstadoMaquina	setCapturas(java.util.ArrayList)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/peg/EstadoMaquina.java
METHOD	peg.EstadoMaquina	copiaCapturas()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/peg/EstadoMaquina.java
PARAMETER	peg.EstadoMaquina	addCaptura(Estruturas.Capture)	c	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/peg/EstadoMaquina.java
METHOD	peg.EstadoMaquina	addCaptura(Estruturas.Capture)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/peg/EstadoMaquina.java
