kind	class	method	param	index	uri
FIELD	rivercityransom.impl.PersonnageImpl	null	nom	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlc3ca8aa24b_davidsan_rivercityransom_tgz-pJ8-rivercityransom_dirtytests_GangsterTestMainJ8/src/rivercityransom/impl/PersonnageImpl.java
FIELD	rivercityransom.impl.PersonnageImpl	null	largeur	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlc3ca8aa24b_davidsan_rivercityransom_tgz-pJ8-rivercityransom_dirtytests_GangsterTestMainJ8/src/rivercityransom/impl/PersonnageImpl.java
FIELD	rivercityransom.impl.PersonnageImpl	null	hauteur	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlc3ca8aa24b_davidsan_rivercityransom_tgz-pJ8-rivercityransom_dirtytests_GangsterTestMainJ8/src/rivercityransom/impl/PersonnageImpl.java
FIELD	rivercityransom.impl.PersonnageImpl	null	profondeur	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlc3ca8aa24b_davidsan_rivercityransom_tgz-pJ8-rivercityransom_dirtytests_GangsterTestMainJ8/src/rivercityransom/impl/PersonnageImpl.java
FIELD	rivercityransom.impl.PersonnageImpl	null	force	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlc3ca8aa24b_davidsan_rivercityransom_tgz-pJ8-rivercityransom_dirtytests_GangsterTestMainJ8/src/rivercityransom/impl/PersonnageImpl.java
FIELD	rivercityransom.impl.PersonnageImpl	null	pointsDeVie	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlc3ca8aa24b_davidsan_rivercityransom_tgz-pJ8-rivercityransom_dirtytests_GangsterTestMainJ8/src/rivercityransom/impl/PersonnageImpl.java
FIELD	rivercityransom.impl.PersonnageImpl	null	sommeArgent	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlc3ca8aa24b_davidsan_rivercityransom_tgz-pJ8-rivercityransom_dirtytests_GangsterTestMainJ8/src/rivercityransom/impl/PersonnageImpl.java
FIELD	rivercityransom.impl.PersonnageImpl	null	x	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlc3ca8aa24b_davidsan_rivercityransom_tgz-pJ8-rivercityransom_dirtytests_GangsterTestMainJ8/src/rivercityransom/impl/PersonnageImpl.java
FIELD	rivercityransom.impl.PersonnageImpl	null	y	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlc3ca8aa24b_davidsan_rivercityransom_tgz-pJ8-rivercityransom_dirtytests_GangsterTestMainJ8/src/rivercityransom/impl/PersonnageImpl.java
FIELD	rivercityransom.impl.PersonnageImpl	null	z	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlc3ca8aa24b_davidsan_rivercityransom_tgz-pJ8-rivercityransom_dirtytests_GangsterTestMainJ8/src/rivercityransom/impl/PersonnageImpl.java
FIELD	rivercityransom.impl.PersonnageImpl	null	chose	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlc3ca8aa24b_davidsan_rivercityransom_tgz-pJ8-rivercityransom_dirtytests_GangsterTestMainJ8/src/rivercityransom/impl/PersonnageImpl.java
PARAMETER	rivercityransom.impl.PersonnageImpl	init(java.lang.String,int,int,int,int,int,int,int,int)	nom	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlc3ca8aa24b_davidsan_rivercityransom_tgz-pJ8-rivercityransom_dirtytests_GangsterTestMainJ8/src/rivercityransom/impl/PersonnageImpl.java
PARAMETER	rivercityransom.impl.PersonnageImpl	init(java.lang.String,int,int,int,int,int,int,int,int)	largeur	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlc3ca8aa24b_davidsan_rivercityransom_tgz-pJ8-rivercityransom_dirtytests_GangsterTestMainJ8/src/rivercityransom/impl/PersonnageImpl.java
PARAMETER	rivercityransom.impl.PersonnageImpl	init(java.lang.String,int,int,int,int,int,int,int,int)	hauteur	2	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlc3ca8aa24b_davidsan_rivercityransom_tgz-pJ8-rivercityransom_dirtytests_GangsterTestMainJ8/src/rivercityransom/impl/PersonnageImpl.java
PARAMETER	rivercityransom.impl.PersonnageImpl	init(java.lang.String,int,int,int,int,int,int,int,int)	profondeur	3	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlc3ca8aa24b_davidsan_rivercityransom_tgz-pJ8-rivercityransom_dirtytests_GangsterTestMainJ8/src/rivercityransom/impl/PersonnageImpl.java
PARAMETER	rivercityransom.impl.PersonnageImpl	init(java.lang.String,int,int,int,int,int,int,int,int)	force	4	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlc3ca8aa24b_davidsan_rivercityransom_tgz-pJ8-rivercityransom_dirtytests_GangsterTestMainJ8/src/rivercityransom/impl/PersonnageImpl.java
PARAMETER	rivercityransom.impl.PersonnageImpl	init(java.lang.String,int,int,int,int,int,int,int,int)	pointsDeVie	5	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlc3ca8aa24b_davidsan_rivercityransom_tgz-pJ8-rivercityransom_dirtytests_GangsterTestMainJ8/src/rivercityransom/impl/PersonnageImpl.java
PARAMETER	rivercityransom.impl.PersonnageImpl	init(java.lang.String,int,int,int,int,int,int,int,int)	x	6	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlc3ca8aa24b_davidsan_rivercityransom_tgz-pJ8-rivercityransom_dirtytests_GangsterTestMainJ8/src/rivercityransom/impl/PersonnageImpl.java
PARAMETER	rivercityransom.impl.PersonnageImpl	init(java.lang.String,int,int,int,int,int,int,int,int)	y	7	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlc3ca8aa24b_davidsan_rivercityransom_tgz-pJ8-rivercityransom_dirtytests_GangsterTestMainJ8/src/rivercityransom/impl/PersonnageImpl.java
