kind	class	method	param	index	uri
PARAMETER	myastro.constants.NakshatraPadam	NakshatraPadam(int)	value	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld1e4af3f63_GMIyer_myastro_tgz-pJ8-loader_MatchMakerMainJ8/src/myastro/constants/NakshatraPadam.java
FIELD	myastro.constants.NakshatraPadam	null	value	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld1e4af3f63_GMIyer_myastro_tgz-pJ8-loader_MatchMakerMainJ8/src/myastro/constants/NakshatraPadam.java
METHOD	myastro.constants.NakshatraPadam	getValue()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld1e4af3f63_GMIyer_myastro_tgz-pJ8-loader_MatchMakerMainJ8/src/myastro/constants/NakshatraPadam.java
PARAMETER	myastro.constants.matchmaker.MatchResult	MatchResult(double)	value	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld1e4af3f63_GMIyer_myastro_tgz-pJ8-loader_MatchMakerMainJ8/src/myastro/constants/matchmaker/MatchResult.java
FIELD	myastro.constants.matchmaker.MatchResult	null	value	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld1e4af3f63_GMIyer_myastro_tgz-pJ8-loader_MatchMakerMainJ8/src/myastro/constants/matchmaker/MatchResult.java
METHOD	myastro.constants.matchmaker.MatchResult	getValue()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld1e4af3f63_GMIyer_myastro_tgz-pJ8-loader_MatchMakerMainJ8/src/myastro/constants/matchmaker/MatchResult.java
PARAMETER	myastro.constants.matchmaker.Koota	Koota(java.lang.String)	kootaType	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld1e4af3f63_GMIyer_myastro_tgz-pJ8-loader_MatchMakerMainJ8/src/myastro/constants/matchmaker/Koota.java
FIELD	myastro.constants.matchmaker.Koota	null	kootaType	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld1e4af3f63_GMIyer_myastro_tgz-pJ8-loader_MatchMakerMainJ8/src/myastro/constants/matchmaker/Koota.java
METHOD	myastro.constants.matchmaker.Koota	getKootaType()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld1e4af3f63_GMIyer_myastro_tgz-pJ8-loader_MatchMakerMainJ8/src/myastro/constants/matchmaker/Koota.java
PARAMETER	myastro.constants.Nakshatra	Nakshatra(java.lang.Boolean)	split	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld1e4af3f63_GMIyer_myastro_tgz-pJ8-loader_MatchMakerMainJ8/src/myastro/constants/Nakshatra.java
