kind	class	method	param	index	uri
FIELD	br.com.bit.ideias.reflection.core.Introspector	null	PATTERN	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld44fdf4fee_nadilsons_reflection_dsl_tgz-pJ8-br_com_bit_ideias_reflection_SimplePerformanceTestJ8/src/br/com/bit/ideias/reflection/core/Introspector.java
FIELD	br.com.bit.ideias.reflection.core.Introspector	null	extractor	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld44fdf4fee_nadilsons_reflection_dsl_tgz-pJ8-br_com_bit_ideias_reflection_SimplePerformanceTestJ8/src/br/com/bit/ideias/reflection/core/Introspector.java
FIELD	br.com.bit.ideias.reflection.core.Introspector	null	isMethod	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld44fdf4fee_nadilsons_reflection_dsl_tgz-pJ8-br_com_bit_ideias_reflection_SimplePerformanceTestJ8/src/br/com/bit/ideias/reflection/core/Introspector.java
FIELD	br.com.bit.ideias.reflection.core.Introspector	null	accessPrivateMembers	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld44fdf4fee_nadilsons_reflection_dsl_tgz-pJ8-br_com_bit_ideias_reflection_SimplePerformanceTestJ8/src/br/com/bit/ideias/reflection/core/Introspector.java
FIELD	br.com.bit.ideias.reflection.core.Introspector	null	criterion	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld44fdf4fee_nadilsons_reflection_dsl_tgz-pJ8-br_com_bit_ideias_reflection_SimplePerformanceTestJ8/src/br/com/bit/ideias/reflection/core/Introspector.java
PARAMETER	br.com.bit.ideias.reflection.core.Introspector	Introspector(java.lang.Object)	instance	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld44fdf4fee_nadilsons_reflection_dsl_tgz-pJ8-br_com_bit_ideias_reflection_SimplePerformanceTestJ8/src/br/com/bit/ideias/reflection/core/Introspector.java
PARAMETER	br.com.bit.ideias.reflection.core.Introspector	Introspector(java.lang.Class)	classe	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld44fdf4fee_nadilsons_reflection_dsl_tgz-pJ8-br_com_bit_ideias_reflection_SimplePerformanceTestJ8/src/br/com/bit/ideias/reflection/core/Introspector.java
PARAMETER	br.com.bit.ideias.reflection.core.Introspector	inObject(java.lang.Object)	instance	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld44fdf4fee_nadilsons_reflection_dsl_tgz-pJ8-br_com_bit_ideias_reflection_SimplePerformanceTestJ8/src/br/com/bit/ideias/reflection/core/Introspector.java
METHOD	br.com.bit.ideias.reflection.core.Introspector	inObject(java.lang.Object)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld44fdf4fee_nadilsons_reflection_dsl_tgz-pJ8-br_com_bit_ideias_reflection_SimplePerformanceTestJ8/src/br/com/bit/ideias/reflection/core/Introspector.java
PARAMETER	br.com.bit.ideias.reflection.core.Introspector	forClass(java.lang.String)	className	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld44fdf4fee_nadilsons_reflection_dsl_tgz-pJ8-br_com_bit_ideias_reflection_SimplePerformanceTestJ8/src/br/com/bit/ideias/reflection/core/Introspector.java
METHOD	br.com.bit.ideias.reflection.core.Introspector	forClass(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld44fdf4fee_nadilsons_reflection_dsl_tgz-pJ8-br_com_bit_ideias_reflection_SimplePerformanceTestJ8/src/br/com/bit/ideias/reflection/core/Introspector.java
PARAMETER	br.com.bit.ideias.reflection.core.Introspector	forClass(java.lang.Class)	targetClass	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld44fdf4fee_nadilsons_reflection_dsl_tgz-pJ8-br_com_bit_ideias_reflection_SimplePerformanceTestJ8/src/br/com/bit/ideias/reflection/core/Introspector.java
METHOD	br.com.bit.ideias.reflection.core.Introspector	forClass(java.lang.Class)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld44fdf4fee_nadilsons_reflection_dsl_tgz-pJ8-br_com_bit_ideias_reflection_SimplePerformanceTestJ8/src/br/com/bit/ideias/reflection/core/Introspector.java
METHOD	br.com.bit.ideias.reflection.core.Introspector	create()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld44fdf4fee_nadilsons_reflection_dsl_tgz-pJ8-br_com_bit_ideias_reflection_SimplePerformanceTestJ8/src/br/com/bit/ideias/reflection/core/Introspector.java
