kind	class	method	param	index	uri
FIELD	linkStateRouting.LinkState	null	routerId	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfb310a588a_alokhan_LinkStateNetworkSimulation_tgz-pJ8-reso_examples_static_routing_DemoJ8/src/linkStateRouting/LinkState.java
FIELD	linkStateRouting.LinkState	null	metric	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfb310a588a_alokhan_LinkStateNetworkSimulation_tgz-pJ8-reso_examples_static_routing_DemoJ8/src/linkStateRouting/LinkState.java
FIELD	linkStateRouting.LinkState	null	routerInterface	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfb310a588a_alokhan_LinkStateNetworkSimulation_tgz-pJ8-reso_examples_static_routing_DemoJ8/src/linkStateRouting/LinkState.java
PARAMETER	linkStateRouting.LinkState	LinkState(reso.ip.IPAddress,int,reso.ip.IPInterfaceAdapter)	dst	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfb310a588a_alokhan_LinkStateNetworkSimulation_tgz-pJ8-reso_examples_static_routing_DemoJ8/src/linkStateRouting/LinkState.java
PARAMETER	linkStateRouting.LinkState	LinkState(reso.ip.IPAddress,int,reso.ip.IPInterfaceAdapter)	metric	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfb310a588a_alokhan_LinkStateNetworkSimulation_tgz-pJ8-reso_examples_static_routing_DemoJ8/src/linkStateRouting/LinkState.java
PARAMETER	linkStateRouting.LinkState	LinkState(reso.ip.IPAddress,int,reso.ip.IPInterfaceAdapter)	routerInterface	2	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfb310a588a_alokhan_LinkStateNetworkSimulation_tgz-pJ8-reso_examples_static_routing_DemoJ8/src/linkStateRouting/LinkState.java
METHOD	linkStateRouting.LinkState	toString()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfb310a588a_alokhan_LinkStateNetworkSimulation_tgz-pJ8-reso_examples_static_routing_DemoJ8/src/linkStateRouting/LinkState.java
FIELD	reso.ip.IPAddress	null	addr	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfb310a588a_alokhan_LinkStateNetworkSimulation_tgz-pJ8-reso_examples_static_routing_DemoJ8/src/reso/ip/IPAddress.java
FIELD	reso.ip.IPAddress	null	ANY	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfb310a588a_alokhan_LinkStateNetworkSimulation_tgz-pJ8-reso_examples_static_routing_DemoJ8/src/reso/ip/IPAddress.java
FIELD	reso.ip.IPAddress	null	BROADCAST	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfb310a588a_alokhan_LinkStateNetworkSimulation_tgz-pJ8-reso_examples_static_routing_DemoJ8/src/reso/ip/IPAddress.java
FIELD	reso.ip.IPAddress	null	LOCALHOST	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfb310a588a_alokhan_LinkStateNetworkSimulation_tgz-pJ8-reso_examples_static_routing_DemoJ8/src/reso/ip/IPAddress.java
PARAMETER	reso.ip.IPAddress	IPAddress(int,int,int,int)	a	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfb310a588a_alokhan_LinkStateNetworkSimulation_tgz-pJ8-reso_examples_static_routing_DemoJ8/src/reso/ip/IPAddress.java
PARAMETER	reso.ip.IPAddress	IPAddress(int,int,int,int)	b	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfb310a588a_alokhan_LinkStateNetworkSimulation_tgz-pJ8-reso_examples_static_routing_DemoJ8/src/reso/ip/IPAddress.java
PARAMETER	reso.ip.IPAddress	IPAddress(int,int,int,int)	c	2	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfb310a588a_alokhan_LinkStateNetworkSimulation_tgz-pJ8-reso_examples_static_routing_DemoJ8/src/reso/ip/IPAddress.java
PARAMETER	reso.ip.IPAddress	IPAddress(int,int,int,int)	d	3	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfb310a588a_alokhan_LinkStateNetworkSimulation_tgz-pJ8-reso_examples_static_routing_DemoJ8/src/reso/ip/IPAddress.java
METHOD	reso.ip.IPAddress	isBroadcast()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfb310a588a_alokhan_LinkStateNetworkSimulation_tgz-pJ8-reso_examples_static_routing_DemoJ8/src/reso/ip/IPAddress.java
METHOD	reso.ip.IPAddress	isUndefined()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfb310a588a_alokhan_LinkStateNetworkSimulation_tgz-pJ8-reso_examples_static_routing_DemoJ8/src/reso/ip/IPAddress.java
PARAMETER	reso.ip.IPAddress	getByAddress(int,int,int,int)	a	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfb310a588a_alokhan_LinkStateNetworkSimulation_tgz-pJ8-reso_examples_static_routing_DemoJ8/src/reso/ip/IPAddress.java
PARAMETER	reso.ip.IPAddress	getByAddress(int,int,int,int)	b	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfb310a588a_alokhan_LinkStateNetworkSimulation_tgz-pJ8-reso_examples_static_routing_DemoJ8/src/reso/ip/IPAddress.java
