kind	class	method	param	index	uri
FIELD	sjm.grammar.Grammar	null	startRule	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/grammar/Grammar.java
FIELD	sjm.grammar.Grammar	null	ruleGrammar	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/grammar/Grammar.java
FIELD	sjm.grammar.Grammar	null	initTokenizer	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/grammar/Grammar.java
METHOD	sjm.grammar.Grammar	startParser()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/grammar/Grammar.java
PARAMETER	sjm.grammar.Grammar	getRule(java.lang.String)	ruleName	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/grammar/Grammar.java
METHOD	sjm.grammar.Grammar	getRule(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/grammar/Grammar.java
PARAMETER	sjm.grammar.Grammar	printRuleOn(java.lang.String,java.io.PrintWriter)	ruleName	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/grammar/Grammar.java
FIELD	sjm.grammar.GrammarTest	null	grammar	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/grammar/GrammarTest.java
METHOD	sjm.parse.IParser	bestMatch(sjm.parse.Assembly)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/IParser.java
METHOD	sjm.parse.IParser	getName()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/IParser.java
METHOD	sjm.parse.Terminal	matchOneAssembly(sjm.parse.Assembly)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/Terminal.java
FIELD	sjm.parse.Parser	null	name	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/Parser.java
FIELD	sjm.parse.Parser	null	assembler	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/Parser.java
PARAMETER	sjm.parse.Parser	Parser(java.lang.String)	name	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/Parser.java
METHOD	sjm.parse.Parser	best(java.util.Set)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/Parser.java
METHOD	sjm.parse.Parser	bestMatch(sjm.parse.Assembly)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/Parser.java
METHOD	sjm.parse.Parser	completeMatch(sjm.parse.Assembly)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/Parser.java
METHOD	sjm.parse.Parser	getName()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/Parser.java
FIELD	sjm.parse.Assembly	null	target	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/Assembly.java
METHOD	sjm.parse.Assembly	getTarget()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/Assembly.java
FIELD	sjm.parse.Repetition	null	preAssembler	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/Repetition.java
PARAMETER	sjm.parse.Repetition	Repetition(sjm.parse.Parser,java.lang.String)	name	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/Repetition.java
FIELD	sjm.parse.tokens.Tokenizer	null	reader	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/tokens/Tokenizer.java
METHOD	sjm.parse.tokens.Tokenizer	getReader()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/tokens/Tokenizer.java
METHOD	sjm.parse.tokens.Tokenizer	getCharacterState(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/tokens/Tokenizer.java
FIELD	sjm.parse.tokens.NumberState	null	value	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/tokens/NumberState.java
FIELD	sjm.parse.tokens.Token	null	nval	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/tokens/Token.java
PARAMETER	sjm.parse.tokens.Token	Token(sjm.parse.tokens.TokenType,java.lang.String,java.lang.Number)	nval	2	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/tokens/Token.java
PARAMETER	sjm.parse.tokens.Token	equals(java.lang.Object)	o	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/tokens/Token.java
METHOD	sjm.parse.tokens.Token	value()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/tokens/Token.java
FIELD	sjm.parse.tokens.SymbolNode	null	parent	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/tokens/SymbolNode.java
PARAMETER	sjm.parse.tokens.SymbolNode	SymbolNode(sjm.parse.tokens.SymbolNode,char)	parent	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/tokens/SymbolNode.java
METHOD	sjm.parse.tokens.SymbolNode	findChildWithChar(char)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/tokens/SymbolNode.java
METHOD	sjm.parse.tokens.SymbolNode	findDescendant(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/parse/tokens/SymbolNode.java
PARAMETER	sjm.grammar.ParsingResult	ParsingResult(sjm.parse.Assembly)	result	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/grammar/ParsingResult.java
FIELD	sjm.grammar.RuleGrammarTest	null	targetGrammar	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/grammar/RuleGrammarTest.java
FIELD	sjm.grammar.RuleGrammarTest	null	grammar	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/grammar/RuleGrammarTest.java
PARAMETER	sjm.grammar.RuleGrammarTest	printGrammar(sjm.grammar.Grammar)	grammar	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url146c819f25_jlink_Parse4SJM_tgz-pJ8-sjm_examples_book_robot_ShowRobotRefactoredJ8/src/sjm/grammar/RuleGrammarTest.java
