kind	class	method	param	index	uri
METHOD	org.semanticweb.skos.SKOSCollection	asSKOSConcept()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28f181064f_simonjupp_java_skos_api_tgz-pJ8-example_CreateSKOSExampleJ8/src/org/semanticweb/skos/SKOSCollection.java
METHOD	org.semanticweb.skos.SKOSCollection	asSKOSConceptScheme()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28f181064f_simonjupp_java_skos_api_tgz-pJ8-example_CreateSKOSExampleJ8/src/org/semanticweb/skos/SKOSCollection.java
METHOD	org.semanticweb.skos.SKOSCollection	asSKOSLabelRelation()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28f181064f_simonjupp_java_skos_api_tgz-pJ8-example_CreateSKOSExampleJ8/src/org/semanticweb/skos/SKOSCollection.java
METHOD	org.semanticweb.skos.SKOSCollection	asSKOSResource()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28f181064f_simonjupp_java_skos_api_tgz-pJ8-example_CreateSKOSExampleJ8/src/org/semanticweb/skos/SKOSCollection.java
METHOD	org.semanticweb.skos.SKOSEntity	asSKOSConcept()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28f181064f_simonjupp_java_skos_api_tgz-pJ8-example_CreateSKOSExampleJ8/src/org/semanticweb/skos/SKOSEntity.java
METHOD	org.semanticweb.skos.SKOSEntity	asSKOSConceptScheme()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28f181064f_simonjupp_java_skos_api_tgz-pJ8-example_CreateSKOSExampleJ8/src/org/semanticweb/skos/SKOSEntity.java
METHOD	org.semanticweb.skos.SKOSEntity	asSKOSLabelRelation()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28f181064f_simonjupp_java_skos_api_tgz-pJ8-example_CreateSKOSExampleJ8/src/org/semanticweb/skos/SKOSEntity.java
METHOD	org.semanticweb.skos.SKOSEntity	asSKOSResource()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28f181064f_simonjupp_java_skos_api_tgz-pJ8-example_CreateSKOSExampleJ8/src/org/semanticweb/skos/SKOSEntity.java
METHOD	org.semanticweb.skos.SKOSEntity	getSKOSAnnotations(org.semanticweb.skos.SKOSDataset)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28f181064f_simonjupp_java_skos_api_tgz-pJ8-example_CreateSKOSExampleJ8/src/org/semanticweb/skos/SKOSEntity.java
METHOD	org.semanticweb.skos.extensions.SKOSLabelRelation	getLabelProperty()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url28f181064f_simonjupp_java_skos_api_tgz-pJ8-example_CreateSKOSExampleJ8/src/org/semanticweb/skos/extensions/SKOSLabelRelation.java
