kind	class	method	param	index	uri
FIELD	edu.columbia.stat.wood.pub.sequencememoizer.IntSequenceMemoizer	null	RNG	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url3010dbde70_nbartlett_Sequence_Memoizer_tgz-pJ8-edu_columbia_stat_wood_pub_sequencememoizer_IntSequenceMemoizerJ8/src/edu/columbia/stat/wood/pub/sequencememoizer/IntSequenceMemoizer.java
FIELD	edu.columbia.stat.wood.pub.sequencememoizer.IntSequenceMemoizer	null	mostOfPDF	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url3010dbde70_nbartlett_Sequence_Memoizer_tgz-pJ8-edu_columbia_stat_wood_pub_sequencememoizer_IntSequenceMemoizerJ8/src/edu/columbia/stat/wood/pub/sequencememoizer/IntSequenceMemoizer.java
PARAMETER	edu.columbia.stat.wood.pub.sequencememoizer.IntSequenceMemoizer	sampleSeatingArrangements(edu.columbia.stat.wood.pub.sequencememoizer.util.IntRestaurant,edu.columbia.stat.wood.pub.sequencememoizer.util.IntSamplingNode,int)	parentisn	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url3010dbde70_nbartlett_Sequence_Memoizer_tgz-pJ8-edu_columbia_stat_wood_pub_sequencememoizer_IntSequenceMemoizerJ8/src/edu/columbia/stat/wood/pub/sequencememoizer/IntSequenceMemoizer.java
PARAMETER	edu.columbia.stat.wood.pub.sequencememoizer.IntSequenceMemoizer	seatAndUpdateDiscount(int,edu.columbia.stat.wood.pub.sequencememoizer.util.IntRestaurant,double)	r	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url3010dbde70_nbartlett_Sequence_Memoizer_tgz-pJ8-edu_columbia_stat_wood_pub_sequencememoizer_IntSequenceMemoizerJ8/src/edu/columbia/stat/wood/pub/sequencememoizer/IntSequenceMemoizer.java
PARAMETER	edu.columbia.stat.wood.pub.sequencememoizer.IntSequenceMemoizer	predictiveProbability(edu.columbia.stat.wood.pub.sequencememoizer.util.IntRestaurant,int)	r	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url3010dbde70_nbartlett_Sequence_Memoizer_tgz-pJ8-edu_columbia_stat_wood_pub_sequencememoizer_IntSequenceMemoizerJ8/src/edu/columbia/stat/wood/pub/sequencememoizer/IntSequenceMemoizer.java
PARAMETER	edu.columbia.stat.wood.pub.sequencememoizer.IntSequenceMemoizer	fillMostOfPDF(edu.columbia.stat.wood.pub.sequencememoizer.util.IntRestaurant)	r	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url3010dbde70_nbartlett_Sequence_Memoizer_tgz-pJ8-edu_columbia_stat_wood_pub_sequencememoizer_IntSequenceMemoizerJ8/src/edu/columbia/stat/wood/pub/sequencememoizer/IntSequenceMemoizer.java
PARAMETER	edu.columbia.stat.wood.pub.sequencememoizer.util.IntSequence	overlap(edu.columbia.stat.wood.pub.sequencememoizer.util.IntSequence.IntSeqNode,int,int,int[],int)	edgeNode	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url3010dbde70_nbartlett_Sequence_Memoizer_tgz-pJ8-edu_columbia_stat_wood_pub_sequencememoizer_IntSequenceMemoizerJ8/src/edu/columbia/stat/wood/pub/sequencememoizer/util/IntSequence.java
FIELD	edu.columbia.stat.wood.pub.sequencememoizer.util.IntSequence$IntSeqNode	null	intChunk	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url3010dbde70_nbartlett_Sequence_Memoizer_tgz-pJ8-edu_columbia_stat_wood_pub_sequencememoizer_IntSequenceMemoizerJ8/src/edu/columbia/stat/wood/pub/sequencememoizer/util/IntSequence.java
PARAMETER	edu.columbia.stat.wood.pub.sequencememoizer.util.IntSequence$IntSeqNode	IntSeqNode(edu.columbia.stat.wood.pub.sequencememoizer.util.IntSequence.IntSeqNode,edu.columbia.stat.wood.pub.sequencememoizer.util.IntSequence.IntSeqNode,int)	previous	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url3010dbde70_nbartlett_Sequence_Memoizer_tgz-pJ8-edu_columbia_stat_wood_pub_sequencememoizer_IntSequenceMemoizerJ8/src/edu/columbia/stat/wood/pub/sequencememoizer/util/IntSequence.java
PARAMETER	edu.columbia.stat.wood.pub.sequencememoizer.util.IntSequence$IntSeqNode	IntSeqNode(edu.columbia.stat.wood.pub.sequencememoizer.util.IntSequence.IntSeqNode,edu.columbia.stat.wood.pub.sequencememoizer.util.IntSequence.IntSeqNode,int)	next	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url3010dbde70_nbartlett_Sequence_Memoizer_tgz-pJ8-edu_columbia_stat_wood_pub_sequencememoizer_IntSequenceMemoizerJ8/src/edu/columbia/stat/wood/pub/sequencememoizer/util/IntSequence.java
METHOD	edu.columbia.stat.wood.pub.sequencememoizer.util.IntSequence$IntSeqNode	intChunk()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url3010dbde70_nbartlett_Sequence_Memoizer_tgz-pJ8-edu_columbia_stat_wood_pub_sequencememoizer_IntSequenceMemoizerJ8/src/edu/columbia/stat/wood/pub/sequencememoizer/util/IntSequence.java
PARAMETER	edu.columbia.stat.wood.pub.sequencememoizer.util.IntSequence$BackwardsIterator	overlap(edu.columbia.stat.wood.pub.sequencememoizer.util.IntSequence.IntSeqNode,int,int,edu.columbia.stat.wood.pub.sequencememoizer.IntSequenceMemoizer.NewKey)	edgeNode	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url3010dbde70_nbartlett_Sequence_Memoizer_tgz-pJ8-edu_columbia_stat_wood_pub_sequencememoizer_IntSequenceMemoizerJ8/src/edu/columbia/stat/wood/pub/sequencememoizer/util/IntSequence.java
