kind	class	method	param	index	uri
FIELD	es.dagaren.gladiator.representation.Colour	null	colours	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Colour.java
FIELD	es.dagaren.gladiator.representation.Colour	null	coloursNames	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Colour.java
FIELD	es.dagaren.gladiator.representation.Colour	null	coloursMap	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Colour.java
METHOD	es.dagaren.gladiator.representation.Colour	valueOf(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Colour.java
FIELD	es.dagaren.gladiator.time.SuddenDeath	null	incrementType	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/time/SuddenDeath.java
FIELD	es.dagaren.gladiator.time.Clock	null	timeControl	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/time/Clock.java
FIELD	es.dagaren.gladiator.time.Quota	null	incrementType	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/time/Quota.java
FIELD	es.dagaren.gladiator.representation.Movement	null	sourceSquare	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Movement.java
FIELD	es.dagaren.gladiator.representation.Movement	null	destinationSquare	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Movement.java
FIELD	es.dagaren.gladiator.representation.Movement	null	sourcePiece	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Movement.java
FIELD	es.dagaren.gladiator.representation.Movement	null	destinationPiece	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Movement.java
FIELD	es.dagaren.gladiator.representation.Movement	null	promotionPiece	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Movement.java
PARAMETER	es.dagaren.gladiator.representation.Movement	Movement(es.dagaren.gladiator.representation.Square,es.dagaren.gladiator.representation.Square,es.dagaren.gladiator.representation.Piece,es.dagaren.gladiator.representation.Piece,es.dagaren.gladiator.representation.Piece)	destinationPiece	3	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Movement.java
METHOD	es.dagaren.gladiator.representation.Movement	getDestination()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Movement.java
METHOD	es.dagaren.gladiator.representation.Movement	getSource()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Movement.java
METHOD	es.dagaren.gladiator.representation.Movement	getPromotionPiece()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Movement.java
METHOD	es.dagaren.gladiator.representation.Movement	getDestinationPiece()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Movement.java
METHOD	es.dagaren.gladiator.representation.Movement	getSourcePiece()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Movement.java
PARAMETER	es.dagaren.gladiator.representation.Movement	equals(java.lang.Object)	m	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Movement.java
METHOD	es.dagaren.gladiator.representation.Movement	getPromotionGenericPiece()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Movement.java
FIELD	es.dagaren.gladiator.representation.Square	null	squares	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Square.java
FIELD	es.dagaren.gladiator.representation.Square	null	squaresMirror	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Square.java
FIELD	es.dagaren.gladiator.representation.Square	null	squaresNames	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Square.java
FIELD	es.dagaren.gladiator.representation.Square	null	squaresMap	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Square.java
METHOD	es.dagaren.gladiator.representation.Square	getNext()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Square.java
METHOD	es.dagaren.gladiator.representation.Square	getPrevious()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Square.java
METHOD	es.dagaren.gladiator.representation.Square	getNextInRank()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/representation/Square.java
