kind	class	method	param	index	uri
PARAMETER	edu.syr.bytecast.interp.amd64.instructions.ISAInstructionPOP	execute(edu.syr.bytecast.interp.amd64.AMD64Environment,edu.syr.bytecast.amd64.api.instruction.IInstruction)	env	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url47fb0718db_dopl_bytecast_interp_tgz-pJ8-edu_syr_bytecast_interp_amd64_AMD64ExecutionEngineJ8/src/edu/syr/bytecast/interp/amd64/instructions/ISAInstructionPOP.java
PARAMETER	edu.syr.bytecast.interp.amd64.IISAInstruction	execute(edu.syr.bytecast.interp.amd64.AMD64Environment,edu.syr.bytecast.amd64.api.instruction.IInstruction)	env	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url47fb0718db_dopl_bytecast_interp_tgz-pJ8-edu_syr_bytecast_interp_amd64_AMD64ExecutionEngineJ8/src/edu/syr/bytecast/interp/amd64/IISAInstruction.java
PARAMETER	edu.syr.bytecast.interp.amd64.instructions.ISAInstructionPUSH	execute(edu.syr.bytecast.interp.amd64.AMD64Environment,edu.syr.bytecast.amd64.api.instruction.IInstruction)	env	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url47fb0718db_dopl_bytecast_interp_tgz-pJ8-edu_syr_bytecast_interp_amd64_AMD64ExecutionEngineJ8/src/edu/syr/bytecast/interp/amd64/instructions/ISAInstructionPUSH.java
PARAMETER	edu.syr.bytecast.interp.amd64.instructions.ISAInstructionSHR	execute(edu.syr.bytecast.interp.amd64.AMD64Environment,edu.syr.bytecast.amd64.api.instruction.IInstruction)	env	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url47fb0718db_dopl_bytecast_interp_tgz-pJ8-edu_syr_bytecast_interp_amd64_AMD64ExecutionEngineJ8/src/edu/syr/bytecast/interp/amd64/instructions/ISAInstructionSHR.java
PARAMETER	edu.syr.bytecast.interp.amd64.instructions.ISAInstructionJMP	execute(edu.syr.bytecast.interp.amd64.AMD64Environment,edu.syr.bytecast.amd64.api.instruction.IInstruction)	env	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url47fb0718db_dopl_bytecast_interp_tgz-pJ8-edu_syr_bytecast_interp_amd64_AMD64ExecutionEngineJ8/src/edu/syr/bytecast/interp/amd64/instructions/ISAInstructionJMP.java
PARAMETER	edu.syr.bytecast.interp.amd64.instructions.ISAInstructionCALLQ	execute(edu.syr.bytecast.interp.amd64.AMD64Environment,edu.syr.bytecast.amd64.api.instruction.IInstruction)	env	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url47fb0718db_dopl_bytecast_interp_tgz-pJ8-edu_syr_bytecast_interp_amd64_AMD64ExecutionEngineJ8/src/edu/syr/bytecast/interp/amd64/instructions/ISAInstructionCALLQ.java
PARAMETER	edu.syr.bytecast.interp.amd64.instructions.ISAInstructionLEA	execute(edu.syr.bytecast.interp.amd64.AMD64Environment,edu.syr.bytecast.amd64.api.instruction.IInstruction)	env	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url47fb0718db_dopl_bytecast_interp_tgz-pJ8-edu_syr_bytecast_interp_amd64_AMD64ExecutionEngineJ8/src/edu/syr/bytecast/interp/amd64/instructions/ISAInstructionLEA.java
PARAMETER	edu.syr.bytecast.interp.amd64.instructions.ISAInstructionMOVZBL	execute(edu.syr.bytecast.interp.amd64.AMD64Environment,edu.syr.bytecast.amd64.api.instruction.IInstruction)	env	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url47fb0718db_dopl_bytecast_interp_tgz-pJ8-edu_syr_bytecast_interp_amd64_AMD64ExecutionEngineJ8/src/edu/syr/bytecast/interp/amd64/instructions/ISAInstructionMOVZBL.java
PARAMETER	edu.syr.bytecast.interp.amd64.instructions.ISAInstructionADD	execute(edu.syr.bytecast.interp.amd64.AMD64Environment,edu.syr.bytecast.amd64.api.instruction.IInstruction)	env	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url47fb0718db_dopl_bytecast_interp_tgz-pJ8-edu_syr_bytecast_interp_amd64_AMD64ExecutionEngineJ8/src/edu/syr/bytecast/interp/amd64/instructions/ISAInstructionADD.java
PARAMETER	edu.syr.bytecast.interp.amd64.instructions.ISAInstructionNOP	execute(edu.syr.bytecast.interp.amd64.AMD64Environment,edu.syr.bytecast.amd64.api.instruction.IInstruction)	env	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url47fb0718db_dopl_bytecast_interp_tgz-pJ8-edu_syr_bytecast_interp_amd64_AMD64ExecutionEngineJ8/src/edu/syr/bytecast/interp/amd64/instructions/ISAInstructionNOP.java
