kind	class	method	param	index	uri
FIELD	org.patchca.demo.PatchcaFilterDemo	null	img	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4913e7683c_pusuo_patchca_tgz-pJ8-org_patchca_demo_PatchcaFilterDemoPNGJ8/src/org/patchca/demo/PatchcaFilterDemo.java
FIELD	org.patchca.color.RandomColorFactory	null	color	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4913e7683c_pusuo_patchca_tgz-pJ8-org_patchca_demo_PatchcaFilterDemoPNGJ8/src/org/patchca/color/RandomColorFactory.java
METHOD	org.patchca.service.CaptchaService	getCaptcha()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4913e7683c_pusuo_patchca_tgz-pJ8-org_patchca_demo_PatchcaFilterDemoPNGJ8/src/org/patchca/service/CaptchaService.java
PARAMETER	org.patchca.text.renderer.AbstractTextRenderer	draw(java.lang.String,java.awt.image.BufferedImage,org.patchca.font.FontFactory,org.patchca.color.ColorFactory)	fontFactory	2	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4913e7683c_pusuo_patchca_tgz-pJ8-org_patchca_demo_PatchcaFilterDemoPNGJ8/src/org/patchca/text/renderer/AbstractTextRenderer.java
PARAMETER	org.patchca.text.renderer.AbstractTextRenderer	draw(java.lang.String,java.awt.image.BufferedImage,org.patchca.font.FontFactory,org.patchca.color.ColorFactory)	colorFactory	3	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4913e7683c_pusuo_patchca_tgz-pJ8-org_patchca_demo_PatchcaFilterDemoPNGJ8/src/org/patchca/text/renderer/AbstractTextRenderer.java
PARAMETER	org.patchca.text.renderer.AbstractTextRenderer	convertToCharacters(java.lang.String,java.awt.Graphics2D,org.patchca.font.FontFactory,org.patchca.color.ColorFactory)	fontFactory	2	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4913e7683c_pusuo_patchca_tgz-pJ8-org_patchca_demo_PatchcaFilterDemoPNGJ8/src/org/patchca/text/renderer/AbstractTextRenderer.java
PARAMETER	org.patchca.text.renderer.AbstractTextRenderer	convertToCharacters(java.lang.String,java.awt.Graphics2D,org.patchca.font.FontFactory,org.patchca.color.ColorFactory)	colorFactory	3	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4913e7683c_pusuo_patchca_tgz-pJ8-org_patchca_demo_PatchcaFilterDemoPNGJ8/src/org/patchca/text/renderer/AbstractTextRenderer.java
PARAMETER	org.patchca.text.renderer.TextRenderer	draw(java.lang.String,java.awt.image.BufferedImage,org.patchca.font.FontFactory,org.patchca.color.ColorFactory)	fontFactory	2	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4913e7683c_pusuo_patchca_tgz-pJ8-org_patchca_demo_PatchcaFilterDemoPNGJ8/src/org/patchca/text/renderer/TextRenderer.java
PARAMETER	org.patchca.text.renderer.TextRenderer	draw(java.lang.String,java.awt.image.BufferedImage,org.patchca.font.FontFactory,org.patchca.color.ColorFactory)	colorFactory	3	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4913e7683c_pusuo_patchca_tgz-pJ8-org_patchca_demo_PatchcaFilterDemoPNGJ8/src/org/patchca/text/renderer/TextRenderer.java
FIELD	org.patchca.text.renderer.TextCharacter	null	font	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4913e7683c_pusuo_patchca_tgz-pJ8-org_patchca_demo_PatchcaFilterDemoPNGJ8/src/org/patchca/text/renderer/TextCharacter.java
FIELD	org.patchca.text.renderer.TextCharacter	null	color	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4913e7683c_pusuo_patchca_tgz-pJ8-org_patchca_demo_PatchcaFilterDemoPNGJ8/src/org/patchca/text/renderer/TextCharacter.java
METHOD	org.patchca.text.renderer.TextCharacter	getFont()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4913e7683c_pusuo_patchca_tgz-pJ8-org_patchca_demo_PatchcaFilterDemoPNGJ8/src/org/patchca/text/renderer/TextCharacter.java
METHOD	org.patchca.text.renderer.TextCharacter	getColor()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4913e7683c_pusuo_patchca_tgz-pJ8-org_patchca_demo_PatchcaFilterDemoPNGJ8/src/org/patchca/text/renderer/TextCharacter.java
FIELD	org.patchca.filter.library.AbstractImageOp	null	hints	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4913e7683c_pusuo_patchca_tgz-pJ8-org_patchca_demo_PatchcaFilterDemoPNGJ8/src/org/patchca/filter/library/AbstractImageOp.java
