kind	class	method	param	index	uri
METHOD	minidraw.framework.DrawingEditor	drawing()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url49526af437_Maria_G_CS325_tgz-pJ8-assignments_farmer_FarmerImplJ8/src/minidraw/framework/DrawingEditor.java
METHOD	minidraw.framework.DrawingEditor	view()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url49526af437_Maria_G_CS325_tgz-pJ8-assignments_farmer_FarmerImplJ8/src/minidraw/framework/DrawingEditor.java
FIELD	minidraw.framework.DrawingChangeEvent	null	fRectangle	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url49526af437_Maria_G_CS325_tgz-pJ8-assignments_farmer_FarmerImplJ8/src/minidraw/framework/DrawingChangeEvent.java
PARAMETER	minidraw.framework.DrawingChangeEvent	DrawingChangeEvent(minidraw.framework.Drawing,java.awt.Rectangle)	r	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url49526af437_Maria_G_CS325_tgz-pJ8-assignments_farmer_FarmerImplJ8/src/minidraw/framework/DrawingChangeEvent.java
METHOD	minidraw.framework.DrawingChangeEvent	getInvalidatedRectangle()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url49526af437_Maria_G_CS325_tgz-pJ8-assignments_farmer_FarmerImplJ8/src/minidraw/framework/DrawingChangeEvent.java
METHOD	minidraw.framework.Figure	displayBox()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url49526af437_Maria_G_CS325_tgz-pJ8-assignments_farmer_FarmerImplJ8/src/minidraw/framework/Figure.java
METHOD	minidraw.framework.Factory	createStatusField(minidraw.framework.DrawingEditor)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url49526af437_Maria_G_CS325_tgz-pJ8-assignments_farmer_FarmerImplJ8/src/minidraw/framework/Factory.java
PARAMETER	minidraw.framework.RubberBandSelectionStrategy	selectGroup(minidraw.framework.Drawing,java.awt.Rectangle,boolean)	model	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url49526af437_Maria_G_CS325_tgz-pJ8-assignments_farmer_FarmerImplJ8/src/minidraw/framework/RubberBandSelectionStrategy.java
PARAMETER	minidraw.framework.RubberBandSelectionStrategy	selectGroup(minidraw.framework.Drawing,java.awt.Rectangle,boolean)	rubberBandRectangle	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url49526af437_Maria_G_CS325_tgz-pJ8-assignments_farmer_FarmerImplJ8/src/minidraw/framework/RubberBandSelectionStrategy.java
FIELD	minidraw.standard.StandardDrawingView	null	dirtyRectangle	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url49526af437_Maria_G_CS325_tgz-pJ8-assignments_farmer_FarmerImplJ8/src/minidraw/standard/StandardDrawingView.java
