kind	class	method	param	index	uri
FIELD	Test.myDatabaseTest	null	myTestDB	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4df616fce9_s3e0n1g1_prototype3_tgz-pJ8-Trading_Engine_MainJ8/src/Test/myDatabaseTest.java
FIELD	Trading_Engine.myDatabase	null	connection	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4df616fce9_s3e0n1g1_prototype3_tgz-pJ8-Trading_Engine_MainJ8/src/Trading_Engine/myDatabase.java
METHOD	Trading_Engine.myDatabase	getRowCount()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4df616fce9_s3e0n1g1_prototype3_tgz-pJ8-Trading_Engine_MainJ8/src/Trading_Engine/myDatabase.java
METHOD	Trading_Engine.myDatabase	getResultSet(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4df616fce9_s3e0n1g1_prototype3_tgz-pJ8-Trading_Engine_MainJ8/src/Trading_Engine/myDatabase.java
PARAMETER	Trading_Engine.MyAskList	add(long,double,int,java.sql.Time)	tmpTime	3	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4df616fce9_s3e0n1g1_prototype3_tgz-pJ8-Trading_Engine_MainJ8/src/Trading_Engine/MyAskList.java
PARAMETER	Trading_Engine.MyAskList	update(long,double,int,java.sql.Time)	tmpTime	3	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4df616fce9_s3e0n1g1_prototype3_tgz-pJ8-Trading_Engine_MainJ8/src/Trading_Engine/MyAskList.java
FIELD	Trading_Engine.OneData	null	time	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4df616fce9_s3e0n1g1_prototype3_tgz-pJ8-Trading_Engine_MainJ8/src/Trading_Engine/OneData.java
PARAMETER	Trading_Engine.OneData	OneData(long,double,int,java.sql.Time)	tmpTime	3	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4df616fce9_s3e0n1g1_prototype3_tgz-pJ8-Trading_Engine_MainJ8/src/Trading_Engine/OneData.java
METHOD	Trading_Engine.OneData	getTime()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4df616fce9_s3e0n1g1_prototype3_tgz-pJ8-Trading_Engine_MainJ8/src/Trading_Engine/OneData.java
PARAMETER	Trading_Engine.OneData	updateValue(long,double,int,java.sql.Time)	tmpTime	3	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4df616fce9_s3e0n1g1_prototype3_tgz-pJ8-Trading_Engine_MainJ8/src/Trading_Engine/OneData.java
PARAMETER	Trading_Engine.MyBidList	add(long,double,int,java.sql.Time)	tmpTime	3	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4df616fce9_s3e0n1g1_prototype3_tgz-pJ8-Trading_Engine_MainJ8/src/Trading_Engine/MyBidList.java
PARAMETER	Trading_Engine.MyBidList	update(long,double,int,java.sql.Time)	tmpTime	3	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4df616fce9_s3e0n1g1_prototype3_tgz-pJ8-Trading_Engine_MainJ8/src/Trading_Engine/MyBidList.java
FIELD	Trading_Engine.GraphData	null	time	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4df616fce9_s3e0n1g1_prototype3_tgz-pJ8-Trading_Engine_MainJ8/src/Trading_Engine/GraphData.java
PARAMETER	Trading_Engine.GraphData	GraphData(double,java.sql.Time)	tmpTime	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4df616fce9_s3e0n1g1_prototype3_tgz-pJ8-Trading_Engine_MainJ8/src/Trading_Engine/GraphData.java
METHOD	Trading_Engine.GraphData	getTime()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4df616fce9_s3e0n1g1_prototype3_tgz-pJ8-Trading_Engine_MainJ8/src/Trading_Engine/GraphData.java
FIELD	gui.StrategySelected	null	resultTrade	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4df616fce9_s3e0n1g1_prototype3_tgz-pJ8-Trading_Engine_MainJ8/src/gui/StrategySelected.java
FIELD	gui.StrategySelected	null	strategyResult	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4df616fce9_s3e0n1g1_prototype3_tgz-pJ8-Trading_Engine_MainJ8/src/gui/StrategySelected.java
FIELD	gui.StrategySelected	null	allCompletedTrade	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4df616fce9_s3e0n1g1_prototype3_tgz-pJ8-Trading_Engine_MainJ8/src/gui/StrategySelected.java
FIELD	gui.StrategySelected	null	askFirstList	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4df616fce9_s3e0n1g1_prototype3_tgz-pJ8-Trading_Engine_MainJ8/src/gui/StrategySelected.java
FIELD	gui.StrategySelected	null	bidFirstList	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4df616fce9_s3e0n1g1_prototype3_tgz-pJ8-Trading_Engine_MainJ8/src/gui/StrategySelected.java
FIELD	gui.StrategySelected	null	strategyAsk	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4df616fce9_s3e0n1g1_prototype3_tgz-pJ8-Trading_Engine_MainJ8/src/gui/StrategySelected.java
FIELD	gui.StrategySelected	null	strategyBid	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4df616fce9_s3e0n1g1_prototype3_tgz-pJ8-Trading_Engine_MainJ8/src/gui/StrategySelected.java
PARAMETER	gui.StrategySelected	StrategySelected(java.util.LinkedList,java.util.LinkedList,java.util.LinkedList,java.util.LinkedList,java.util.LinkedList,java.util.LinkedList)	runResult	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url4df616fce9_s3e0n1g1_prototype3_tgz-pJ8-Trading_Engine_MainJ8/src/gui/StrategySelected.java
