kind	class	method	param	index	uri
FIELD	algorithms_and_systems_AI_Evolutionary.GeneticAlgorithm	null	targetFeel	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url79d4f7c7ed_schanq_Live_Algorithm_tgz-pJ8-algorithms_and_systems_AI_Evolutionary_GeneticAlgorithmJ8/src/algorithms_and_systems_AI_Evolutionary/GeneticAlgorithm.java
FIELD	expert_system.Tonality	null	relatedKeys	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url79d4f7c7ed_schanq_Live_Algorithm_tgz-pJ8-algorithms_and_systems_AI_Evolutionary_GeneticAlgorithmJ8/src/expert_system/Tonality.java
METHOD	expert_system.Tonality	getRelatedKeys()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url79d4f7c7ed_schanq_Live_Algorithm_tgz-pJ8-algorithms_and_systems_AI_Evolutionary_GeneticAlgorithmJ8/src/expert_system/Tonality.java
FIELD	expert_system.DesiredLoudness	null	allDynamics	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url79d4f7c7ed_schanq_Live_Algorithm_tgz-pJ8-algorithms_and_systems_AI_Evolutionary_GeneticAlgorithmJ8/src/expert_system/DesiredLoudness.java
FIELD	expert_system.DesiredLoudness	null	theShape	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url79d4f7c7ed_schanq_Live_Algorithm_tgz-pJ8-algorithms_and_systems_AI_Evolutionary_GeneticAlgorithmJ8/src/expert_system/DesiredLoudness.java
FIELD	expert_system.DesiredLoudness	null	howCloseAreTheDynamics	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url79d4f7c7ed_schanq_Live_Algorithm_tgz-pJ8-algorithms_and_systems_AI_Evolutionary_GeneticAlgorithmJ8/src/expert_system/DesiredLoudness.java
METHOD	expert_system.DesiredLoudness	getHowCloseAreTheDynamics()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url79d4f7c7ed_schanq_Live_Algorithm_tgz-pJ8-algorithms_and_systems_AI_Evolutionary_GeneticAlgorithmJ8/src/expert_system/DesiredLoudness.java
METHOD	expert_system.DesiredLoudness	getTheShape()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url79d4f7c7ed_schanq_Live_Algorithm_tgz-pJ8-algorithms_and_systems_AI_Evolutionary_GeneticAlgorithmJ8/src/expert_system/DesiredLoudness.java
FIELD	algorithms_and_systems_AI_Evolutionary.Chromosome	null	scaleIntervals	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url79d4f7c7ed_schanq_Live_Algorithm_tgz-pJ8-algorithms_and_systems_AI_Evolutionary_GeneticAlgorithmJ8/src/algorithms_and_systems_AI_Evolutionary/Chromosome.java
FIELD	algorithms_and_systems_AI_Evolutionary.Chromosome	null	phrase	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url79d4f7c7ed_schanq_Live_Algorithm_tgz-pJ8-algorithms_and_systems_AI_Evolutionary_GeneticAlgorithmJ8/src/algorithms_and_systems_AI_Evolutionary/Chromosome.java
FIELD	algorithms_and_systems_AI_Evolutionary.Chromosome	null	allKeys	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url79d4f7c7ed_schanq_Live_Algorithm_tgz-pJ8-algorithms_and_systems_AI_Evolutionary_GeneticAlgorithmJ8/src/algorithms_and_systems_AI_Evolutionary/Chromosome.java
FIELD	algorithms_and_systems_AI_Evolutionary.Chromosome	null	allScales	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url79d4f7c7ed_schanq_Live_Algorithm_tgz-pJ8-algorithms_and_systems_AI_Evolutionary_GeneticAlgorithmJ8/src/algorithms_and_systems_AI_Evolutionary/Chromosome.java
FIELD	algorithms_and_systems_AI_Evolutionary.Chromosome	null	allDynamics	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url79d4f7c7ed_schanq_Live_Algorithm_tgz-pJ8-algorithms_and_systems_AI_Evolutionary_GeneticAlgorithmJ8/src/algorithms_and_systems_AI_Evolutionary/Chromosome.java
FIELD	algorithms_and_systems_AI_Evolutionary.Chromosome	null	allDynamicShapes	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url79d4f7c7ed_schanq_Live_Algorithm_tgz-pJ8-algorithms_and_systems_AI_Evolutionary_GeneticAlgorithmJ8/src/algorithms_and_systems_AI_Evolutionary/Chromosome.java
FIELD	algorithms_and_systems_AI_Evolutionary.Chromosome	null	allRhythms	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url79d4f7c7ed_schanq_Live_Algorithm_tgz-pJ8-algorithms_and_systems_AI_Evolutionary_GeneticAlgorithmJ8/src/algorithms_and_systems_AI_Evolutionary/Chromosome.java
FIELD	algorithms_and_systems_AI_Evolutionary.Chromosome	null	keyGene	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url79d4f7c7ed_schanq_Live_Algorithm_tgz-pJ8-algorithms_and_systems_AI_Evolutionary_GeneticAlgorithmJ8/src/algorithms_and_systems_AI_Evolutionary/Chromosome.java
FIELD	algorithms_and_systems_AI_Evolutionary.Chromosome	null	scaleGene	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url79d4f7c7ed_schanq_Live_Algorithm_tgz-pJ8-algorithms_and_systems_AI_Evolutionary_GeneticAlgorithmJ8/src/algorithms_and_systems_AI_Evolutionary/Chromosome.java
FIELD	algorithms_and_systems_AI_Evolutionary.Chromosome	null	dynamicGene	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url79d4f7c7ed_schanq_Live_Algorithm_tgz-pJ8-algorithms_and_systems_AI_Evolutionary_GeneticAlgorithmJ8/src/algorithms_and_systems_AI_Evolutionary/Chromosome.java
