kind	class	method	param	index	uri
PARAMETER	cz.mff.dpp.args.Logger	info(java.lang.String,java.lang.Object[])	args	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8752fbdeb0_sixtam_args_tgz-pJ8-cz_mff_dpp_args_examples_ConstraintTestJ8/src/cz/mff/dpp/args/Logger.java
METHOD	cz.mff.dpp.args.OptionUtils$Used	getOptionParams(cz.mff.dpp.args.Option)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8752fbdeb0_sixtam_args_tgz-pJ8-cz_mff_dpp_args_examples_ConstraintTestJ8/src/cz/mff/dpp/args/OptionUtils.java
PARAMETER	cz.mff.dpp.args.OptionUtils$Used	isOptionUsed(cz.mff.dpp.args.Option)	option	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8752fbdeb0_sixtam_args_tgz-pJ8-cz_mff_dpp_args_examples_ConstraintTestJ8/src/cz/mff/dpp/args/OptionUtils.java
PARAMETER	cz.mff.dpp.args.Parser	getOptionParams(java.lang.reflect.AccessibleObject,cz.mff.dpp.args.Option,java.util.LinkedList)	accessible	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8752fbdeb0_sixtam_args_tgz-pJ8-cz_mff_dpp_args_examples_ConstraintTestJ8/src/cz/mff/dpp/args/Parser.java
PARAMETER	cz.mff.dpp.args.Parser	set(java.lang.reflect.AccessibleObject,java.util.List,java.lang.annotation.Annotation)	accessible	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8752fbdeb0_sixtam_args_tgz-pJ8-cz_mff_dpp_args_examples_ConstraintTestJ8/src/cz/mff/dpp/args/Parser.java
PARAMETER	cz.mff.dpp.args.Parser	isOptionParameter(java.lang.String)	token	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8752fbdeb0_sixtam_args_tgz-pJ8-cz_mff_dpp_args_examples_ConstraintTestJ8/src/cz/mff/dpp/args/Parser.java
PARAMETER	cz.mff.dpp.args.Configurator	set(java.lang.Object,java.lang.reflect.AccessibleObject,java.util.List)	accessible	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8752fbdeb0_sixtam_args_tgz-pJ8-cz_mff_dpp_args_examples_ConstraintTestJ8/src/cz/mff/dpp/args/Configurator.java
PARAMETER	cz.mff.dpp.args.Configurator	applyValue(java.lang.Object,java.lang.reflect.AccessibleObject,java.lang.Object)	accessible	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8752fbdeb0_sixtam_args_tgz-pJ8-cz_mff_dpp_args_examples_ConstraintTestJ8/src/cz/mff/dpp/args/Configurator.java
PARAMETER	cz.mff.dpp.args.Configurator	applyValue(java.lang.Object,java.lang.reflect.AccessibleObject,java.lang.Object)	value	2	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8752fbdeb0_sixtam_args_tgz-pJ8-cz_mff_dpp_args_examples_ConstraintTestJ8/src/cz/mff/dpp/args/Configurator.java
PARAMETER	cz.mff.dpp.args.Configurator	callSetter(java.lang.Object,java.lang.reflect.Method,java.lang.Object[])	params	2	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8752fbdeb0_sixtam_args_tgz-pJ8-cz_mff_dpp_args_examples_ConstraintTestJ8/src/cz/mff/dpp/args/Configurator.java
PARAMETER	cz.mff.dpp.args.Configurator	setFieldValue(java.lang.Object,java.lang.reflect.Field,java.lang.Object)	value	2	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8752fbdeb0_sixtam_args_tgz-pJ8-cz_mff_dpp_args_examples_ConstraintTestJ8/src/cz/mff/dpp/args/Configurator.java
PARAMETER	cz.mff.dpp.args.Configurator	valueFromList(java.lang.reflect.AccessibleObject,java.util.List)	accessible	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8752fbdeb0_sixtam_args_tgz-pJ8-cz_mff_dpp_args_examples_ConstraintTestJ8/src/cz/mff/dpp/args/Configurator.java
