kind	class	method	param	index	uri
FIELD	GUI.FieldPanel	null	classtypes	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8db16c7d62_Arsaell_EdT_tgz-pJ8-DATA_MainJ8/src/GUI/FieldPanel.java
FIELD	GUI.FieldPanel	null	fields	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8db16c7d62_Arsaell_EdT_tgz-pJ8-DATA_MainJ8/src/GUI/FieldPanel.java
FIELD	GUI.FieldPanel	null	ds	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8db16c7d62_Arsaell_EdT_tgz-pJ8-DATA_MainJ8/src/GUI/FieldPanel.java
PARAMETER	GUI.FieldPanel	FieldPanel(DATA.DataStore)	datastore	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8db16c7d62_Arsaell_EdT_tgz-pJ8-DATA_MainJ8/src/GUI/FieldPanel.java
METHOD	GUI.FieldPanel	getClassTypes()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8db16c7d62_Arsaell_EdT_tgz-pJ8-DATA_MainJ8/src/GUI/FieldPanel.java
METHOD	GUI.FieldPanel	getFields()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8db16c7d62_Arsaell_EdT_tgz-pJ8-DATA_MainJ8/src/GUI/FieldPanel.java
FIELD	DATA.DataStore	null	types	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8db16c7d62_Arsaell_EdT_tgz-pJ8-DATA_MainJ8/src/DATA/DataStore.java
FIELD	DATA.DataStore	null	fields	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8db16c7d62_Arsaell_EdT_tgz-pJ8-DATA_MainJ8/src/DATA/DataStore.java
FIELD	DATA.DataStore	null	MWWH	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8db16c7d62_Arsaell_EdT_tgz-pJ8-DATA_MainJ8/src/DATA/DataStore.java
FIELD	DATA.DataStore	null	defaultWeek	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8db16c7d62_Arsaell_EdT_tgz-pJ8-DATA_MainJ8/src/DATA/DataStore.java
METHOD	DATA.DataStore	getTypes()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8db16c7d62_Arsaell_EdT_tgz-pJ8-DATA_MainJ8/src/DATA/DataStore.java
METHOD	DATA.DataStore	getFields()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8db16c7d62_Arsaell_EdT_tgz-pJ8-DATA_MainJ8/src/DATA/DataStore.java
METHOD	DATA.DataStore	getMWWH()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8db16c7d62_Arsaell_EdT_tgz-pJ8-DATA_MainJ8/src/DATA/DataStore.java
METHOD	DATA.DataStore	getDefaultWeek()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8db16c7d62_Arsaell_EdT_tgz-pJ8-DATA_MainJ8/src/DATA/DataStore.java
PARAMETER	DATA.DataStore	setTeachers(java.util.ArrayList)	teachers	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url8db16c7d62_Arsaell_EdT_tgz-pJ8-DATA_MainJ8/src/DATA/DataStore.java
