kind	class	method	param	index	uri
FIELD	mythrift.Span	null	name	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url93da129d40_marioskogias_blkin_hadoop_tgz-pJ8-mythrift_MyZipkinThriftJ8/src/mythrift/Span.java
FIELD	mythrift.Span	null	annotations	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url93da129d40_marioskogias_blkin_hadoop_tgz-pJ8-mythrift_MyZipkinThriftJ8/src/mythrift/Span.java
FIELD	mythrift.Span	null	binary_annotations	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url93da129d40_marioskogias_blkin_hadoop_tgz-pJ8-mythrift_MyZipkinThriftJ8/src/mythrift/Span.java
METHOD	mythrift.Span$_Fields	findByThriftId(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url93da129d40_marioskogias_blkin_hadoop_tgz-pJ8-mythrift_MyZipkinThriftJ8/src/mythrift/Span.java
METHOD	mythrift.Span$_Fields	findByName(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url93da129d40_marioskogias_blkin_hadoop_tgz-pJ8-mythrift_MyZipkinThriftJ8/src/mythrift/Span.java
METHOD	mythrift.Span	getName()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url93da129d40_marioskogias_blkin_hadoop_tgz-pJ8-mythrift_MyZipkinThriftJ8/src/mythrift/Span.java
METHOD	mythrift.Span	getAnnotationsIterator()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url93da129d40_marioskogias_blkin_hadoop_tgz-pJ8-mythrift_MyZipkinThriftJ8/src/mythrift/Span.java
METHOD	mythrift.Span	getAnnotations()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url93da129d40_marioskogias_blkin_hadoop_tgz-pJ8-mythrift_MyZipkinThriftJ8/src/mythrift/Span.java
METHOD	mythrift.Span	getBinary_annotationsIterator()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url93da129d40_marioskogias_blkin_hadoop_tgz-pJ8-mythrift_MyZipkinThriftJ8/src/mythrift/Span.java
METHOD	mythrift.Span	getBinary_annotations()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url93da129d40_marioskogias_blkin_hadoop_tgz-pJ8-mythrift_MyZipkinThriftJ8/src/mythrift/Span.java
METHOD	mythrift.Span	getFieldValue(mythrift.Span._Fields)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url93da129d40_marioskogias_blkin_hadoop_tgz-pJ8-mythrift_MyZipkinThriftJ8/src/mythrift/Span.java
PARAMETER	mythrift.Span	equals(java.lang.Object)	that	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url93da129d40_marioskogias_blkin_hadoop_tgz-pJ8-mythrift_MyZipkinThriftJ8/src/mythrift/Span.java
METHOD	mythrift.Span	fieldForId(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url93da129d40_marioskogias_blkin_hadoop_tgz-pJ8-mythrift_MyZipkinThriftJ8/src/mythrift/Span.java
FIELD	mythrift.Annotation	null	value	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/url93da129d40_marioskogias_blkin_hadoop_tgz-pJ8-mythrift_MyZipkinThriftJ8/src/mythrift/Annotation.java
