kind	class	method	param	index	uri
FIELD	com.moblima.util.showTimeReadtest	null	cinemaDAO	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlaf656038a0_Salihan04_MOBLIMA_tgz-pJ8-com_moblima_util_dataTestJ8/src/com/moblima/util/showTimeReadtest.java
FIELD	com.moblima.util.showTimeReadtest	null	cineplexDAO	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlaf656038a0_Salihan04_MOBLIMA_tgz-pJ8-com_moblima_util_dataTestJ8/src/com/moblima/util/showTimeReadtest.java
FIELD	com.moblima.util.showTimeReadtest	null	movieDAO	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlaf656038a0_Salihan04_MOBLIMA_tgz-pJ8-com_moblima_util_dataTestJ8/src/com/moblima/util/showTimeReadtest.java
FIELD	com.moblima.util.showTimeReadtest	null	showTimeDAO	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlaf656038a0_Salihan04_MOBLIMA_tgz-pJ8-com_moblima_util_dataTestJ8/src/com/moblima/util/showTimeReadtest.java
FIELD	com.moblima.util.showTimeReadtest	null	seatDAO	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlaf656038a0_Salihan04_MOBLIMA_tgz-pJ8-com_moblima_util_dataTestJ8/src/com/moblima/util/showTimeReadtest.java
FIELD	com.moblima.util.showTimeReadtest	null	bookingDAO	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlaf656038a0_Salihan04_MOBLIMA_tgz-pJ8-com_moblima_util_dataTestJ8/src/com/moblima/util/showTimeReadtest.java
FIELD	com.moblima.util.showTimeReadtest	null	movieTicketDAO	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlaf656038a0_Salihan04_MOBLIMA_tgz-pJ8-com_moblima_util_dataTestJ8/src/com/moblima/util/showTimeReadtest.java
FIELD	com.moblima.util.showTimeReadtest	null	movieGoerDAO	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlaf656038a0_Salihan04_MOBLIMA_tgz-pJ8-com_moblima_util_dataTestJ8/src/com/moblima/util/showTimeReadtest.java
FIELD	com.moblima.util.showTimeReadtest	null	transactionDAO	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlaf656038a0_Salihan04_MOBLIMA_tgz-pJ8-com_moblima_util_dataTestJ8/src/com/moblima/util/showTimeReadtest.java
PARAMETER	com.moblima.dataaccess.CinemaDAO	deleteCinema(com.moblima.model.Cinema)	cinema	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlaf656038a0_Salihan04_MOBLIMA_tgz-pJ8-com_moblima_util_dataTestJ8/src/com/moblima/dataaccess/CinemaDAO.java
