kind	class	method	param	index	uri
FIELD	de.hrw.mdbt.CRS	null	db	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlc1c8a2efc1_wydler_mdbt_tgz-pJ8-de_hrw_mdbt_CRSJ8/src/de/hrw/mdbt/CRS.java
FIELD	de.hrw.mdbt.test.CRSOperationsTest	null	ops	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlc1c8a2efc1_wydler_mdbt_tgz-pJ8-de_hrw_mdbt_CRSJ8/src/de/hrw/mdbt/test/CRSOperationsTest.java
METHOD	de.hrw.mdbt.CRSOperations	createOffer(de.hrw.mdbt.model.Branch,java.util.Date,java.util.Date,de.hrw.mdbt.model.PriceClass)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlc1c8a2efc1_wydler_mdbt_tgz-pJ8-de_hrw_mdbt_CRSJ8/src/de/hrw/mdbt/CRSOperations.java
PARAMETER	de.hrw.mdbt.CRSOperations	createReservation(de.hrw.mdbt.model.Customer,de.hrw.mdbt.model.Branch,de.hrw.mdbt.model.VehicleGroup,java.util.Date,java.util.Date)	c	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlc1c8a2efc1_wydler_mdbt_tgz-pJ8-de_hrw_mdbt_CRSJ8/src/de/hrw/mdbt/CRSOperations.java
PARAMETER	de.hrw.mdbt.CRSOperations	createOffer(com.db4o.ObjectContainer,de.hrw.mdbt.model.Branch,java.util.Date,java.util.Date,de.hrw.mdbt.model.PriceClass)	startDate	2	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlc1c8a2efc1_wydler_mdbt_tgz-pJ8-de_hrw_mdbt_CRSJ8/src/de/hrw/mdbt/CRSOperations.java
PARAMETER	de.hrw.mdbt.CRSOperations	createOffer(com.db4o.ObjectContainer,de.hrw.mdbt.model.Branch,java.util.Date,java.util.Date,de.hrw.mdbt.model.PriceClass)	endDate	3	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlc1c8a2efc1_wydler_mdbt_tgz-pJ8-de_hrw_mdbt_CRSJ8/src/de/hrw/mdbt/CRSOperations.java
METHOD	de.hrw.mdbt.CRSOperations	createOffer(com.db4o.ObjectContainer,de.hrw.mdbt.model.Branch,java.util.Date,java.util.Date,de.hrw.mdbt.model.PriceClass)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlc1c8a2efc1_wydler_mdbt_tgz-pJ8-de_hrw_mdbt_CRSJ8/src/de/hrw/mdbt/CRSOperations.java
PARAMETER	de.hrw.mdbt.CRSOperations	createReservation(com.db4o.ObjectContainer,de.hrw.mdbt.model.Customer,de.hrw.mdbt.model.Branch,de.hrw.mdbt.model.VehicleGroup,java.util.Date,java.util.Date)	c	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlc1c8a2efc1_wydler_mdbt_tgz-pJ8-de_hrw_mdbt_CRSJ8/src/de/hrw/mdbt/CRSOperations.java
PARAMETER	de.hrw.mdbt.CRSOperations	createReservation(com.db4o.ObjectContainer,de.hrw.mdbt.model.Customer,de.hrw.mdbt.model.Branch,de.hrw.mdbt.model.VehicleGroup,java.util.Date,java.util.Date)	startDate	4	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlc1c8a2efc1_wydler_mdbt_tgz-pJ8-de_hrw_mdbt_CRSJ8/src/de/hrw/mdbt/CRSOperations.java
PARAMETER	de.hrw.mdbt.CRSOperations	createReservation(com.db4o.ObjectContainer,de.hrw.mdbt.model.Customer,de.hrw.mdbt.model.Branch,de.hrw.mdbt.model.VehicleGroup,java.util.Date,java.util.Date)	endDate	5	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlc1c8a2efc1_wydler_mdbt_tgz-pJ8-de_hrw_mdbt_CRSJ8/src/de/hrw/mdbt/CRSOperations.java
FIELD	de.hrw.mdbt.model.Branch	null	name	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlc1c8a2efc1_wydler_mdbt_tgz-pJ8-de_hrw_mdbt_CRSJ8/src/de/hrw/mdbt/model/Branch.java
FIELD	de.hrw.mdbt.model.Branch	null	address	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlc1c8a2efc1_wydler_mdbt_tgz-pJ8-de_hrw_mdbt_CRSJ8/src/de/hrw/mdbt/model/Branch.java
FIELD	de.hrw.mdbt.model.Branch	null	openingTime	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlc1c8a2efc1_wydler_mdbt_tgz-pJ8-de_hrw_mdbt_CRSJ8/src/de/hrw/mdbt/model/Branch.java
FIELD	de.hrw.mdbt.model.Branch	null	closingTime	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlc1c8a2efc1_wydler_mdbt_tgz-pJ8-de_hrw_mdbt_CRSJ8/src/de/hrw/mdbt/model/Branch.java
FIELD	de.hrw.mdbt.model.Branch	null	phone	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlc1c8a2efc1_wydler_mdbt_tgz-pJ8-de_hrw_mdbt_CRSJ8/src/de/hrw/mdbt/model/Branch.java
PARAMETER	de.hrw.mdbt.model.Branch	Branch(java.lang.String,de.hrw.mdbt.model.Address,java.sql.Time,java.sql.Time,java.lang.String)	address	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlc1c8a2efc1_wydler_mdbt_tgz-pJ8-de_hrw_mdbt_CRSJ8/src/de/hrw/mdbt/model/Branch.java
METHOD	de.hrw.mdbt.model.Branch	getName()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlc1c8a2efc1_wydler_mdbt_tgz-pJ8-de_hrw_mdbt_CRSJ8/src/de/hrw/mdbt/model/Branch.java
PARAMETER	de.hrw.mdbt.model.Branch	setName(java.lang.String)	name	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlc1c8a2efc1_wydler_mdbt_tgz-pJ8-de_hrw_mdbt_CRSJ8/src/de/hrw/mdbt/model/Branch.java
METHOD	de.hrw.mdbt.model.Branch	getAddress()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlc1c8a2efc1_wydler_mdbt_tgz-pJ8-de_hrw_mdbt_CRSJ8/src/de/hrw/mdbt/model/Branch.java
PARAMETER	de.hrw.mdbt.model.Branch	setAddress(de.hrw.mdbt.model.Address)	address	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlc1c8a2efc1_wydler_mdbt_tgz-pJ8-de_hrw_mdbt_CRSJ8/src/de/hrw/mdbt/model/Branch.java
METHOD	de.hrw.mdbt.model.Branch	getOpeningTime()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlc1c8a2efc1_wydler_mdbt_tgz-pJ8-de_hrw_mdbt_CRSJ8/src/de/hrw/mdbt/model/Branch.java
PARAMETER	de.hrw.mdbt.model.Branch	setOpeningTime(java.sql.Time)	opening	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlc1c8a2efc1_wydler_mdbt_tgz-pJ8-de_hrw_mdbt_CRSJ8/src/de/hrw/mdbt/model/Branch.java
