kind	class	method	param	index	uri
METHOD	MazeGeneration.EnumMaze	generateRandomDirections()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlcf7851e92b_Triploblastic_CSCD350_FinalProject_tgz-pJ8-MazeGame_MazeJ8/src/MazeGeneration/EnumMaze.java
FIELD	MazeRoomLogic.MazeNode	null	mazeRoom	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlcf7851e92b_Triploblastic_CSCD350_FinalProject_tgz-pJ8-MazeGame_MazeJ8/src/MazeRoomLogic/MazeNode.java
FIELD	MazeRoomLogic.MazeRoom	null	winEffect	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlcf7851e92b_Triploblastic_CSCD350_FinalProject_tgz-pJ8-MazeGame_MazeJ8/src/MazeRoomLogic/MazeRoom.java
FIELD	MazeRoomLogic.MazeRoom	null	loseEffect	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlcf7851e92b_Triploblastic_CSCD350_FinalProject_tgz-pJ8-MazeGame_MazeJ8/src/MazeRoomLogic/MazeRoom.java
FIELD	MazeRoomLogic.MazeRoom	null	enterBehavior	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlcf7851e92b_Triploblastic_CSCD350_FinalProject_tgz-pJ8-MazeGame_MazeJ8/src/MazeRoomLogic/MazeRoom.java
METHOD	MazeRoomLogic.MazeRoom	getEnterBehavior()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlcf7851e92b_Triploblastic_CSCD350_FinalProject_tgz-pJ8-MazeGame_MazeJ8/src/MazeRoomLogic/MazeRoom.java
FIELD	TriviaQuestions.MovieTriviaQuestionFactory	null	dbManager	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlcf7851e92b_Triploblastic_CSCD350_FinalProject_tgz-pJ8-MazeGame_MazeJ8/src/TriviaQuestions/MovieTriviaQuestionFactory.java
FIELD	TriviaQuestions.MovieTriviaDatabaseManager	null	ids	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlcf7851e92b_Triploblastic_CSCD350_FinalProject_tgz-pJ8-MazeGame_MazeJ8/src/TriviaQuestions/MovieTriviaDatabaseManager.java
FIELD	TriviaQuestions.MovieTriviaDatabaseManager	null	c	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlcf7851e92b_Triploblastic_CSCD350_FinalProject_tgz-pJ8-MazeGame_MazeJ8/src/TriviaQuestions/MovieTriviaDatabaseManager.java
FIELD	TriviaQuestions.MovieTriviaDatabaseManager	null	s	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlcf7851e92b_Triploblastic_CSCD350_FinalProject_tgz-pJ8-MazeGame_MazeJ8/src/TriviaQuestions/MovieTriviaDatabaseManager.java
FIELD	TriviaQuestions.MovieTriviaQuestion	null	prompt	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlcf7851e92b_Triploblastic_CSCD350_FinalProject_tgz-pJ8-MazeGame_MazeJ8/src/TriviaQuestions/MovieTriviaQuestion.java
FIELD	TriviaQuestions.MovieTriviaQuestion	null	answerSet	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlcf7851e92b_Triploblastic_CSCD350_FinalProject_tgz-pJ8-MazeGame_MazeJ8/src/TriviaQuestions/MovieTriviaQuestion.java
METHOD	TriviaQuestions.MovieTriviaQuestion	getPrompt()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlcf7851e92b_Triploblastic_CSCD350_FinalProject_tgz-pJ8-MazeGame_MazeJ8/src/TriviaQuestions/MovieTriviaQuestion.java
METHOD	TriviaQuestions.MovieTriviaQuestion	getAnswerSet()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlcf7851e92b_Triploblastic_CSCD350_FinalProject_tgz-pJ8-MazeGame_MazeJ8/src/TriviaQuestions/MovieTriviaQuestion.java
FIELD	TriviaQuestions.MovieTriviaAnswerSet	null	answer	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlcf7851e92b_Triploblastic_CSCD350_FinalProject_tgz-pJ8-MazeGame_MazeJ8/src/TriviaQuestions/MovieTriviaAnswerSet.java
METHOD	TriviaQuestions.MovieTriviaAnswerSet	getAnswer()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlcf7851e92b_Triploblastic_CSCD350_FinalProject_tgz-pJ8-MazeGame_MazeJ8/src/TriviaQuestions/MovieTriviaAnswerSet.java
PARAMETER	TriviaQuestions.MovieTriviaAnswerSet	setAnswer(java.lang.String)	answer	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlcf7851e92b_Triploblastic_CSCD350_FinalProject_tgz-pJ8-MazeGame_MazeJ8/src/TriviaQuestions/MovieTriviaAnswerSet.java
FIELD	TriviaQuestions.MovieTriviaQuestionPrompt	null	selection	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlcf7851e92b_Triploblastic_CSCD350_FinalProject_tgz-pJ8-MazeGame_MazeJ8/src/TriviaQuestions/MovieTriviaQuestionPrompt.java
PARAMETER	TriviaQuestions.MovieTriviaQuestionPrompt	setPrompt(java.lang.String)	prompt	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlcf7851e92b_Triploblastic_CSCD350_FinalProject_tgz-pJ8-MazeGame_MazeJ8/src/TriviaQuestions/MovieTriviaQuestionPrompt.java
METHOD	TriviaQuestions.MovieTriviaQuestionPrompt	getSelection()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlcf7851e92b_Triploblastic_CSCD350_FinalProject_tgz-pJ8-MazeGame_MazeJ8/src/TriviaQuestions/MovieTriviaQuestionPrompt.java
