kind	class	method	param	index	uri
PARAMETER	laazotea.indi.Constants	parseBLOBEnable(java.lang.String)	BLOBEnable	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld0f681c558_farom57_AstroidDriver_tgz-pJ8-laazotea_indi_server_examples_MinimumINDIServerJ8/src/laazotea/indi/Constants.java
FIELD	farom.astroiddriver.INDIAstroidDriver	null	intervalometer	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld0f681c558_farom57_AstroidDriver_tgz-pJ8-laazotea_indi_server_examples_MinimumINDIServerJ8/src/farom/astroiddriver/INDIAstroidDriver.java
FIELD	farom.astroiddriver.INDIAstroidDriver	null	currentTask	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld0f681c558_farom57_AstroidDriver_tgz-pJ8-laazotea_indi_server_examples_MinimumINDIServerJ8/src/farom/astroiddriver/INDIAstroidDriver.java
FIELD	laazotea.indi.driver.INDIDriver	null	reader	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld0f681c558_farom57_AstroidDriver_tgz-pJ8-laazotea_indi_server_examples_MinimumINDIServerJ8/src/laazotea/indi/driver/INDIDriver.java
FIELD	laazotea.indi.driver.INDIDriver	null	connectedE	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld0f681c558_farom57_AstroidDriver_tgz-pJ8-laazotea_indi_server_examples_MinimumINDIServerJ8/src/laazotea/indi/driver/INDIDriver.java
FIELD	laazotea.indi.driver.INDIDriver	null	disconnectedE	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld0f681c558_farom57_AstroidDriver_tgz-pJ8-laazotea_indi_server_examples_MinimumINDIServerJ8/src/laazotea/indi/driver/INDIDriver.java
FIELD	laazotea.indi.driver.INDIDriver	null	connectionP	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld0f681c558_farom57_AstroidDriver_tgz-pJ8-laazotea_indi_server_examples_MinimumINDIServerJ8/src/laazotea/indi/driver/INDIDriver.java
METHOD	laazotea.indi.driver.INDIDriver	getSubdriver(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld0f681c558_farom57_AstroidDriver_tgz-pJ8-laazotea_indi_server_examples_MinimumINDIServerJ8/src/laazotea/indi/driver/INDIDriver.java
PARAMETER	laazotea.indi.driver.INDIDriver	setConnectionProperty(boolean,java.lang.String)	message	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld0f681c558_farom57_AstroidDriver_tgz-pJ8-laazotea_indi_server_examples_MinimumINDIServerJ8/src/laazotea/indi/driver/INDIDriver.java
METHOD	laazotea.indi.driver.INDIDriver	processOneXXX(laazotea.indi.driver.INDIProperty,org.w3c.dom.Element)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld0f681c558_farom57_AstroidDriver_tgz-pJ8-laazotea_indi_server_examples_MinimumINDIServerJ8/src/laazotea/indi/driver/INDIDriver.java
