kind	class	method	param	index	uri
PARAMETER	myastro.service.matchmaker.IRashiKootaService	checkKoota(myastro.constants.Rashi,myastro.constants.Rashi)	boyRashi	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld1e4af3f63_GMIyer_myastro_tgz-pJ8-loader_MatchMakerMainJ8/src/myastro/service/matchmaker/IRashiKootaService.java
PARAMETER	myastro.service.matchmaker.IRashiKootaService	checkKoota(myastro.constants.Rashi,myastro.constants.Rashi)	girlRashi	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld1e4af3f63_GMIyer_myastro_tgz-pJ8-loader_MatchMakerMainJ8/src/myastro/service/matchmaker/IRashiKootaService.java
METHOD	myastro.service.matchmaker.IKootaService	getImportance()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld1e4af3f63_GMIyer_myastro_tgz-pJ8-loader_MatchMakerMainJ8/src/myastro/service/matchmaker/IKootaService.java
METHOD	myastro.service.matchmaker.impl.MahendraKootaService	getImportance()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld1e4af3f63_GMIyer_myastro_tgz-pJ8-loader_MatchMakerMainJ8/src/myastro/service/matchmaker/impl/MahendraKootaService.java
PARAMETER	myastro.service.matchmaker.impl.VashiyaKootaService	checkKoota(myastro.constants.Rashi,myastro.constants.Rashi)	boyRashi	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld1e4af3f63_GMIyer_myastro_tgz-pJ8-loader_MatchMakerMainJ8/src/myastro/service/matchmaker/impl/VashiyaKootaService.java
PARAMETER	myastro.service.matchmaker.impl.VashiyaKootaService	checkKoota(myastro.constants.Rashi,myastro.constants.Rashi)	girlRashi	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld1e4af3f63_GMIyer_myastro_tgz-pJ8-loader_MatchMakerMainJ8/src/myastro/service/matchmaker/impl/VashiyaKootaService.java
METHOD	myastro.service.matchmaker.impl.VashiyaKootaService	getImportance()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld1e4af3f63_GMIyer_myastro_tgz-pJ8-loader_MatchMakerMainJ8/src/myastro/service/matchmaker/impl/VashiyaKootaService.java
METHOD	myastro.service.matchmaker.impl.YoniKootaService	getImportance()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld1e4af3f63_GMIyer_myastro_tgz-pJ8-loader_MatchMakerMainJ8/src/myastro/service/matchmaker/impl/YoniKootaService.java
METHOD	myastro.service.matchmaker.impl.RajjuKootaService	getImportance()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld1e4af3f63_GMIyer_myastro_tgz-pJ8-loader_MatchMakerMainJ8/src/myastro/service/matchmaker/impl/RajjuKootaService.java
METHOD	myastro.service.matchmaker.impl.VedhaiKootaService	getImportance()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld1e4af3f63_GMIyer_myastro_tgz-pJ8-loader_MatchMakerMainJ8/src/myastro/service/matchmaker/impl/VedhaiKootaService.java
METHOD	myastro.service.matchmaker.impl.GanaKootaService	getImportance()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld1e4af3f63_GMIyer_myastro_tgz-pJ8-loader_MatchMakerMainJ8/src/myastro/service/matchmaker/impl/GanaKootaService.java
METHOD	myastro.service.matchmaker.impl.SthreeDeerkhaKootaService	getImportance()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld1e4af3f63_GMIyer_myastro_tgz-pJ8-loader_MatchMakerMainJ8/src/myastro/service/matchmaker/impl/SthreeDeerkhaKootaService.java
PARAMETER	myastro.service.matchmaker.impl.RashiKootaService	checkKoota(myastro.constants.Rashi,myastro.constants.Rashi)	boyRashi	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld1e4af3f63_GMIyer_myastro_tgz-pJ8-loader_MatchMakerMainJ8/src/myastro/service/matchmaker/impl/RashiKootaService.java
PARAMETER	myastro.service.matchmaker.impl.RashiKootaService	checkKoota(myastro.constants.Rashi,myastro.constants.Rashi)	girlRashi	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld1e4af3f63_GMIyer_myastro_tgz-pJ8-loader_MatchMakerMainJ8/src/myastro/service/matchmaker/impl/RashiKootaService.java
METHOD	myastro.service.matchmaker.impl.RashiKootaService	getImportance()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld1e4af3f63_GMIyer_myastro_tgz-pJ8-loader_MatchMakerMainJ8/src/myastro/service/matchmaker/impl/RashiKootaService.java
METHOD	myastro.service.matchmaker.impl.NaadiKootaService	getImportance()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld1e4af3f63_GMIyer_myastro_tgz-pJ8-loader_MatchMakerMainJ8/src/myastro/service/matchmaker/impl/NaadiKootaService.java
PARAMETER	myastro.service.matchmaker.impl.RashiAthipatiKootaService	checkKoota(myastro.constants.Rashi,myastro.constants.Rashi)	boyRashi	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld1e4af3f63_GMIyer_myastro_tgz-pJ8-loader_MatchMakerMainJ8/src/myastro/service/matchmaker/impl/RashiAthipatiKootaService.java
PARAMETER	myastro.service.matchmaker.impl.RashiAthipatiKootaService	checkKoota(myastro.constants.Rashi,myastro.constants.Rashi)	girlRashi	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld1e4af3f63_GMIyer_myastro_tgz-pJ8-loader_MatchMakerMainJ8/src/myastro/service/matchmaker/impl/RashiAthipatiKootaService.java
METHOD	myastro.service.matchmaker.impl.RashiAthipatiKootaService	getImportance()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld1e4af3f63_GMIyer_myastro_tgz-pJ8-loader_MatchMakerMainJ8/src/myastro/service/matchmaker/impl/RashiAthipatiKootaService.java
METHOD	myastro.service.matchmaker.impl.DinaKootaService	getImportance()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld1e4af3f63_GMIyer_myastro_tgz-pJ8-loader_MatchMakerMainJ8/src/myastro/service/matchmaker/impl/DinaKootaService.java
PARAMETER	myastro.service.matchmaker.MatchMakerCommonService	getGirlToBoyRashiDistance(myastro.constants.Rashi,myastro.constants.Rashi)	boyRashi	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld1e4af3f63_GMIyer_myastro_tgz-pJ8-loader_MatchMakerMainJ8/src/myastro/service/matchmaker/MatchMakerCommonService.java
PARAMETER	myastro.service.matchmaker.MatchMakerCommonService	getGirlToBoyRashiDistance(myastro.constants.Rashi,myastro.constants.Rashi)	girlRashi	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld1e4af3f63_GMIyer_myastro_tgz-pJ8-loader_MatchMakerMainJ8/src/myastro/service/matchmaker/MatchMakerCommonService.java
PARAMETER	myastro.service.matchmaker.MatchMakerCommonService	getBoyToGirlRashiDistance(myastro.constants.Rashi,myastro.constants.Rashi)	boyRashi	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld1e4af3f63_GMIyer_myastro_tgz-pJ8-loader_MatchMakerMainJ8/src/myastro/service/matchmaker/MatchMakerCommonService.java
PARAMETER	myastro.service.matchmaker.MatchMakerCommonService	getBoyToGirlRashiDistance(myastro.constants.Rashi,myastro.constants.Rashi)	girlRashi	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld1e4af3f63_GMIyer_myastro_tgz-pJ8-loader_MatchMakerMainJ8/src/myastro/service/matchmaker/MatchMakerCommonService.java
METHOD	myastro.service.AstroCommonService	getRashi(myastro.constants.Nakshatra,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld1e4af3f63_GMIyer_myastro_tgz-pJ8-loader_MatchMakerMainJ8/src/myastro/service/AstroCommonService.java
METHOD	myastro.service.AstroCommonService	getNakshatra(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld1e4af3f63_GMIyer_myastro_tgz-pJ8-loader_MatchMakerMainJ8/src/myastro/service/AstroCommonService.java
METHOD	myastro.service.AstroCommonService	getNakshatraPadam(java.lang.Integer)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld1e4af3f63_GMIyer_myastro_tgz-pJ8-loader_MatchMakerMainJ8/src/myastro/service/AstroCommonService.java
METHOD	loader.MatchMakerMain	getKootaService(myastro.constants.matchmaker.Koota)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld1e4af3f63_GMIyer_myastro_tgz-pJ8-loader_MatchMakerMainJ8/src/loader/MatchMakerMain.java
