kind	class	method	param	index	uri
FIELD	com.sinopec.cache.NodeInfoCache	null	allGroupIPList	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld558a3d988_gao715108023_resourceMonitor_tgz-pJ8-com_sinopec_agent_AgentJ8/src/com/sinopec/cache/NodeInfoCache.java
FIELD	com.sinopec.cache.NodeInfoCache	null	expiryCache	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld558a3d988_gao715108023_resourceMonitor_tgz-pJ8-com_sinopec_agent_AgentJ8/src/com/sinopec/cache/NodeInfoCache.java
FIELD	com.sinopec.cache.NodeInfoCache	null	scheduleService	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld558a3d988_gao715108023_resourceMonitor_tgz-pJ8-com_sinopec_agent_AgentJ8/src/com/sinopec/cache/NodeInfoCache.java
PARAMETER	com.sinopec.cache.NodeInfoCache	add(java.lang.String,java.util.Date)	key	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld558a3d988_gao715108023_resourceMonitor_tgz-pJ8-com_sinopec_agent_AgentJ8/src/com/sinopec/cache/NodeInfoCache.java
PARAMETER	com.sinopec.cache.NodeInfoCache	getNextGroupIP(java.lang.String)	curGroupIP	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld558a3d988_gao715108023_resourceMonitor_tgz-pJ8-com_sinopec_agent_AgentJ8/src/com/sinopec/cache/NodeInfoCache.java
FIELD	com.sinopec.io.GroupStatus	null	groupIP	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld558a3d988_gao715108023_resourceMonitor_tgz-pJ8-com_sinopec_agent_AgentJ8/src/com/sinopec/io/GroupStatus.java
FIELD	com.sinopec.io.GroupStatus	null	nodeName	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld558a3d988_gao715108023_resourceMonitor_tgz-pJ8-com_sinopec_agent_AgentJ8/src/com/sinopec/io/GroupStatus.java
METHOD	com.sinopec.io.GroupStatus	getGroupIP()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld558a3d988_gao715108023_resourceMonitor_tgz-pJ8-com_sinopec_agent_AgentJ8/src/com/sinopec/io/GroupStatus.java
PARAMETER	com.sinopec.io.GroupStatus	setGroupIP(java.lang.String)	groupIP	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld558a3d988_gao715108023_resourceMonitor_tgz-pJ8-com_sinopec_agent_AgentJ8/src/com/sinopec/io/GroupStatus.java
METHOD	com.sinopec.io.GroupStatus	getNodeName()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld558a3d988_gao715108023_resourceMonitor_tgz-pJ8-com_sinopec_agent_AgentJ8/src/com/sinopec/io/GroupStatus.java
METHOD	com.sinopec.impl.DynamicInfoInterfaceImpl	transmitDynamicInfo(com.sinopec.io.DynamicInfoSerializable)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld558a3d988_gao715108023_resourceMonitor_tgz-pJ8-com_sinopec_agent_AgentJ8/src/com/sinopec/impl/DynamicInfoInterfaceImpl.java
METHOD	com.sinopec.dao.DynamicInfoInterface	transmitDynamicInfo(com.sinopec.io.DynamicInfoSerializable)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld558a3d988_gao715108023_resourceMonitor_tgz-pJ8-com_sinopec_agent_AgentJ8/src/com/sinopec/dao/DynamicInfoInterface.java
FIELD	com.sinopec.cache.InstantMsgCache	null	cache	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld558a3d988_gao715108023_resourceMonitor_tgz-pJ8-com_sinopec_agent_AgentJ8/src/com/sinopec/cache/InstantMsgCache.java
FIELD	com.sinopec.cache.InstantMsgCache	null	expiryCache	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld558a3d988_gao715108023_resourceMonitor_tgz-pJ8-com_sinopec_agent_AgentJ8/src/com/sinopec/cache/InstantMsgCache.java
FIELD	com.sinopec.cache.InstantMsgCache	null	scheduleService	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld558a3d988_gao715108023_resourceMonitor_tgz-pJ8-com_sinopec_agent_AgentJ8/src/com/sinopec/cache/InstantMsgCache.java
FIELD	com.sinopec.cache.InstantMsgCache	null	jdbcCommon	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld558a3d988_gao715108023_resourceMonitor_tgz-pJ8-com_sinopec_agent_AgentJ8/src/com/sinopec/cache/InstantMsgCache.java
FIELD	com.sinopec.cache.InstantMsgCache	null	dbType	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld558a3d988_gao715108023_resourceMonitor_tgz-pJ8-com_sinopec_agent_AgentJ8/src/com/sinopec/cache/InstantMsgCache.java
PARAMETER	com.sinopec.cache.InstantMsgCache	InstantMsgCache(int,int,com.sinopec.jdbc.JDBCCommon,java.lang.String)	jdbcCommon	2	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld558a3d988_gao715108023_resourceMonitor_tgz-pJ8-com_sinopec_agent_AgentJ8/src/com/sinopec/cache/InstantMsgCache.java
PARAMETER	com.sinopec.cache.InstantMsgCache	InstantMsgCache(int,int,com.sinopec.jdbc.JDBCCommon,java.lang.String)	dbType	3	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld558a3d988_gao715108023_resourceMonitor_tgz-pJ8-com_sinopec_agent_AgentJ8/src/com/sinopec/cache/InstantMsgCache.java
FIELD	com.sinopec.cache.InstantMsgCache$StoreInstantMsgDataSchedule	null	conn	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld558a3d988_gao715108023_resourceMonitor_tgz-pJ8-com_sinopec_agent_AgentJ8/src/com/sinopec/cache/InstantMsgCache.java
FIELD	com.sinopec.cache.InstantMsgCache$StoreInstantMsgDataSchedule	null	stmt	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld558a3d988_gao715108023_resourceMonitor_tgz-pJ8-com_sinopec_agent_AgentJ8/src/com/sinopec/cache/InstantMsgCache.java
FIELD	com.sinopec.cache.InstantMsgCache$StoreInstantMsgDataSchedule	null	jdbcCommon	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld558a3d988_gao715108023_resourceMonitor_tgz-pJ8-com_sinopec_agent_AgentJ8/src/com/sinopec/cache/InstantMsgCache.java
FIELD	com.sinopec.cache.InstantMsgCache$StoreInstantMsgDataSchedule	null	dbType	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld558a3d988_gao715108023_resourceMonitor_tgz-pJ8-com_sinopec_agent_AgentJ8/src/com/sinopec/cache/InstantMsgCache.java
PARAMETER	com.sinopec.cache.InstantMsgCache$StoreInstantMsgDataSchedule	StoreInstantMsgDataSchedule(java.util.concurrent.ConcurrentHashMap,com.sinopec.jdbc.JDBCCommon,java.lang.String)	jdbcCommon	1	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld558a3d988_gao715108023_resourceMonitor_tgz-pJ8-com_sinopec_agent_AgentJ8/src/com/sinopec/cache/InstantMsgCache.java
PARAMETER	com.sinopec.cache.InstantMsgCache$StoreInstantMsgDataSchedule	StoreInstantMsgDataSchedule(java.util.concurrent.ConcurrentHashMap,com.sinopec.jdbc.JDBCCommon,java.lang.String)	dbType	2	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld558a3d988_gao715108023_resourceMonitor_tgz-pJ8-com_sinopec_agent_AgentJ8/src/com/sinopec/cache/InstantMsgCache.java
METHOD	com.sinopec.cache.InstantMsgCache	put(java.lang.String,com.sinopec.io.DynamicInfoSerializable)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld558a3d988_gao715108023_resourceMonitor_tgz-pJ8-com_sinopec_agent_AgentJ8/src/com/sinopec/cache/InstantMsgCache.java
METHOD	com.sinopec.cache.InstantMsgCache	put(java.lang.String,com.sinopec.io.DynamicInfoSerializable,java.util.Date)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld558a3d988_gao715108023_resourceMonitor_tgz-pJ8-com_sinopec_agent_AgentJ8/src/com/sinopec/cache/InstantMsgCache.java
METHOD	com.sinopec.cache.InstantMsgCache	put(java.lang.String,com.sinopec.io.DynamicInfoSerializable,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld558a3d988_gao715108023_resourceMonitor_tgz-pJ8-com_sinopec_agent_AgentJ8/src/com/sinopec/cache/InstantMsgCache.java
METHOD	com.sinopec.cache.InstantMsgCache	get(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld558a3d988_gao715108023_resourceMonitor_tgz-pJ8-com_sinopec_agent_AgentJ8/src/com/sinopec/cache/InstantMsgCache.java
METHOD	com.sinopec.cache.InstantMsgCache	remove(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urld558a3d988_gao715108023_resourceMonitor_tgz-pJ8-com_sinopec_agent_AgentJ8/src/com/sinopec/cache/InstantMsgCache.java
