kind	class	method	param	index	uri
FIELD	fws.utility.state.State	null	manager_	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfcb11f5f67_Orchaldir_FantasyWorldSimulation_tgz-pJ8-fws_worldeditor_WorldEditorJ8/src/fws/utility/state/State.java
FIELD	fws.world.WorldGenerationMap	null	map_	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfcb11f5f67_Orchaldir_FantasyWorldSimulation_tgz-pJ8-fws_worldeditor_WorldEditorJ8/src/fws/world/WorldGenerationMap.java
FIELD	fws.world.WorldGenerationMap	null	elevation_algo_	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfcb11f5f67_Orchaldir_FantasyWorldSimulation_tgz-pJ8-fws_worldeditor_WorldEditorJ8/src/fws/world/WorldGenerationMap.java
FIELD	fws.world.WorldGenerationMap	null	rainfall_algo_	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfcb11f5f67_Orchaldir_FantasyWorldSimulation_tgz-pJ8-fws_worldeditor_WorldEditorJ8/src/fws/world/WorldGenerationMap.java
FIELD	fws.world.WorldGenerationMap	null	temperature_algo_	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfcb11f5f67_Orchaldir_FantasyWorldSimulation_tgz-pJ8-fws_worldeditor_WorldEditorJ8/src/fws/world/WorldGenerationMap.java
METHOD	fws.world.WorldGenerationMap	getMap()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfcb11f5f67_Orchaldir_FantasyWorldSimulation_tgz-pJ8-fws_worldeditor_WorldEditorJ8/src/fws/world/WorldGenerationMap.java
METHOD	fws.world.WorldGenerationMap	getElevationAlgo()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfcb11f5f67_Orchaldir_FantasyWorldSimulation_tgz-pJ8-fws_worldeditor_WorldEditorJ8/src/fws/world/WorldGenerationMap.java
METHOD	fws.world.WorldGenerationMap	getRainfallAlgo()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfcb11f5f67_Orchaldir_FantasyWorldSimulation_tgz-pJ8-fws_worldeditor_WorldEditorJ8/src/fws/world/WorldGenerationMap.java
METHOD	fws.world.WorldGenerationMap	getTemperatureAlgo()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfcb11f5f67_Orchaldir_FantasyWorldSimulation_tgz-pJ8-fws_worldeditor_WorldEditorJ8/src/fws/world/WorldGenerationMap.java
FIELD	fws.utility.map.ColorRenderer	null	map_	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfcb11f5f67_Orchaldir_FantasyWorldSimulation_tgz-pJ8-fws_worldeditor_WorldEditorJ8/src/fws/utility/map/ColorRenderer.java
PARAMETER	fws.utility.map.ColorRenderer	ColorRenderer(fws.utility.map.Map,float,float,fws.utility.map.ColorSelector)	map	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfcb11f5f67_Orchaldir_FantasyWorldSimulation_tgz-pJ8-fws_worldeditor_WorldEditorJ8/src/fws/utility/map/ColorRenderer.java
PARAMETER	fws.utility.map.ColorRenderer	ColorRenderer(fws.utility.map.Map,float,fws.utility.map.ColorSelector)	map	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfcb11f5f67_Orchaldir_FantasyWorldSimulation_tgz-pJ8-fws_worldeditor_WorldEditorJ8/src/fws/utility/map/ColorRenderer.java
METHOD	fws.utility.map.ColorRenderer	getCell(int,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfcb11f5f67_Orchaldir_FantasyWorldSimulation_tgz-pJ8-fws_worldeditor_WorldEditorJ8/src/fws/utility/map/ColorRenderer.java
PARAMETER	fws.world.ColorRainfall	selectColor(T)	cell	0	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfcb11f5f67_Orchaldir_FantasyWorldSimulation_tgz-pJ8-fws_worldeditor_WorldEditorJ8/src/fws/world/ColorRainfall.java
