kind	class	method	param	index	uri
FIELD	logfilegen.allmodels.record.Date	null	date	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfd6bd5edbe_AntonPoznyak_LogFileGenerator_tgz-pJ8-logfilegen_StartMePleaseJ8/src/logfilegen/allmodels/record/Date.java
METHOD	logfilegen.allmodels.record.Date	getDate()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfd6bd5edbe_AntonPoznyak_LogFileGenerator_tgz-pJ8-logfilegen_StartMePleaseJ8/src/logfilegen/allmodels/record/Date.java
FIELD	logfilegen.allmodels.record.request.Url	null	path	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfd6bd5edbe_AntonPoznyak_LogFileGenerator_tgz-pJ8-logfilegen_StartMePleaseJ8/src/logfilegen/allmodels/record/request/Url.java
FIELD	logfilegen.allmodels.record.request.Url	null	extension	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfd6bd5edbe_AntonPoznyak_LogFileGenerator_tgz-pJ8-logfilegen_StartMePleaseJ8/src/logfilegen/allmodels/record/request/Url.java
METHOD	logfilegen.allmodels.record.request.Url	getPath()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfd6bd5edbe_AntonPoznyak_LogFileGenerator_tgz-pJ8-logfilegen_StartMePleaseJ8/src/logfilegen/allmodels/record/request/Url.java
METHOD	logfilegen.allmodels.record.request.Url	getExtension()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfd6bd5edbe_AntonPoznyak_LogFileGenerator_tgz-pJ8-logfilegen_StartMePleaseJ8/src/logfilegen/allmodels/record/request/Url.java
FIELD	logfilegen.allmodels.record.request.Path	null	path	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfd6bd5edbe_AntonPoznyak_LogFileGenerator_tgz-pJ8-logfilegen_StartMePleaseJ8/src/logfilegen/allmodels/record/request/Path.java
METHOD	logfilegen.allmodels.record.request.Path	getPath()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfd6bd5edbe_AntonPoznyak_LogFileGenerator_tgz-pJ8-logfilegen_StartMePleaseJ8/src/logfilegen/allmodels/record/request/Path.java
METHOD	logfilegen.allmodels.record.request.Path	toString()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfd6bd5edbe_AntonPoznyak_LogFileGenerator_tgz-pJ8-logfilegen_StartMePleaseJ8/src/logfilegen/allmodels/record/request/Path.java
FIELD	logfilegen.allmodels.record.request.Extension	null	extension	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfd6bd5edbe_AntonPoznyak_LogFileGenerator_tgz-pJ8-logfilegen_StartMePleaseJ8/src/logfilegen/allmodels/record/request/Extension.java
METHOD	logfilegen.allmodels.record.request.Extension	getExtension()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfd6bd5edbe_AntonPoznyak_LogFileGenerator_tgz-pJ8-logfilegen_StartMePleaseJ8/src/logfilegen/allmodels/record/request/Extension.java
METHOD	logfilegen.allmodels.record.request.Extension	toString()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/wpi/urlfd6bd5edbe_AntonPoznyak_LogFileGenerator_tgz-pJ8-logfilegen_StartMePleaseJ8/src/logfilegen/allmodels/record/request/Extension.java
